Dataset,Method,N,TP,FP,TN,FN,Precision,Recall,F1,AUC
MRPC (SNEA-α=0.2),BERTScore,400,180,95,105,20,0.655,0.9,0.758,0.816
MRPC (SNEA-α=0.2),all-MiniLM-L6-v2,400,185,127,73,15,0.593,0.925,0.723,0.748
MRPC (SNEA-α=0.2),sentence-t5-base,400,183,95,105,17,0.658,0.915,0.766,0.816
MRPC (SNEA-α=0.3),SNEA-BERT α=0.3 (Our Method),400,174,129,71,26,0.574,0.87,0.692,0.673
MRPC (SNEA-α=0.3),ROUGE-1,400,186,113,87,14,0.622,0.93,0.745,0.784
MRPC (SNEA-α=0.3),ROUGE-2,400,180,120,80,20,0.6,0.9,0.72,0.721
MRPC (SNEA-α=0.3),ROUGE-L,400,186,124,76,14,0.6,0.93,0.729,0.76
MRPC (SNEA-α=0.3),BLEU,400,189,161,39,11,0.54,0.945,0.687,0.677
MRPC (SNEA-α=0.3),BERTScore,400,180,95,105,20,0.655,0.9,0.758,0.816
MRPC (SNEA-α=0.3),all-MiniLM-L6-v2,400,185,127,73,15,0.593,0.925,0.723,0.748
MRPC (SNEA-α=0.3),sentence-t5-base,400,183,95,105,17,0.658,0.915,0.766,0.816
MRPC (SNEA-α=0.4),SNEA-BERT α=0.4 (Our Method),400,168,126,74,32,0.571,0.84,0.68,0.674
MRPC (SNEA-α=0.4),ROUGE-1,400,186,113,87,14,0.622,0.93,0.745,0.784
MRPC (SNEA-α=0.4),ROUGE-2,400,180,120,80,20,0.6,0.9,0.72,0.721
MRPC (SNEA-α=0.4),ROUGE-L,400,186,124,76,14,0.6,0.93,0.729,0.76
MRPC (SNEA-α=0.4),BLEU,400,189,161,39,11,0.54,0.945,0.687,0.677
MRPC (SNEA-α=0.4),BERTScore,400,180,95,105,20,0.655,0.9,0.758,0.816
MRPC (SNEA-α=0.4),all-MiniLM-L6-v2,400,185,127,73,15,0.593,0.925,0.723,0.748
MRPC (SNEA-α=0.4),sentence-t5-base,400,183,95,105,17,0.658,0.915,0.766,0.816
MRPC (SNEA-α=0.5),SNEA-BERT α=0.5 (Our Method),400,185,159,41,15,0.538,0.925,0.68,0.675
MRPC (SNEA-α=0.5),ROUGE-1,400,186,113,87,14,0.622,0.93,0.745,0.784
MRPC (SNEA-α=0.5),ROUGE-2,400,180,120,80,20,0.6,0.9,0.72,0.721
MRPC (SNEA-α=0.5),ROUGE-L,400,186,124,76,14,0.6,0.93,0.729,0.76
MRPC (SNEA-α=0.5),BLEU,400,189,161,39,11,0.54,0.945,0.687,0.677
MRPC (SNEA-α=0.5),BERTScore,400,180,95,105,20,0.655,0.9,0.758,0.816
MRPC (SNEA-α=0.5),all-MiniLM-L6-v2,400,185,127,73,15,0.593,0.925,0.723,0.748
MRPC (SNEA-α=0.5),sentence-t5-base,400,183,95,105,17,0.658,0.915,0.766,0.816
MRPC (SNEA-α=0.6),SNEA-BERT α=0.6 (Our Method),400,177,143,57,23,0.553,0.885,0.681,0.674
MRPC (SNEA-α=0.6),ROUGE-1,400,186,113,87,14,0.622,0.93,0.745,0.784
MRPC (SNEA-α=0.6),ROUGE-2,400,180,120,80,20,0.6,0.9,0.72,0.721
MRPC (SNEA-α=0.6),ROUGE-L,400,186,124,76,14,0.6,0.93,0.729,0.76
MRPC (SNEA-α=0.6),BLEU,400,189,161,39,11,0.54,0.945,0.687,0.677
MRPC (SNEA-α=0.6),BERTScore,400,180,95,105,20,0.655,0.9,0.758,0.816
MRPC (SNEA-α=0.6),all-MiniLM-L6-v2,400,185,127,73,15,0.593,0.925,0.723,0.748
MRPC (SNEA-α=0.6),sentence-t5-base,400,183,95,105,17,0.658,0.915,0.766,0.816
MRPC (SNEA-α=0.7),SNEA-BERT α=0.7 (Our Method),400,171,126,74,29,0.576,0.855,0.688,0.674
MRPC (SNEA-α=0.7),ROUGE-1,400,186,113,87,14,0.622,0.93,0.745,0.784
MRPC (SNEA-α=0.7),ROUGE-2,400,180,120,80,20,0.6,0.9,0.72,0.721
MRPC (SNEA-α=0.7),ROUGE-L,400,186,124,76,14,0.6,0.93,0.729,0.76
MRPC (SNEA-α=0.7),BLEU,400,189,161,39,11,0.54,0.945,0.687,0.677
MRPC (SNEA-α=0.7),BERTScore,400,180,95,105,20,0.655,0.9,0.758,0.816
MRPC (SNEA-α=0.7),all-MiniLM-L6-v2,400,185,127,73,15,0.593,0.925,0.723,0.748
MRPC (SNEA-α=0.7),sentence-t5-base,400,183,95,105,17,0.658,0.915,0.766,0.816
MRPC (SNEA-α=0.8),SNEA-BERT α=0.8 (Our Method),400,171,129,71,29,0.57,0.855,0.684,0.672
MRPC (SNEA-α=0.8),ROUGE-1,400,186,113,87,14,0.622,0.93,0.745,0.784
MRPC (SNEA-α=0.8),ROUGE-2,400,180,120,80,20,0.6,0.9,0.72,0.721
MRPC (SNEA-α=0.8),ROUGE-L,400,186,124,76,14,0.6,0.93,0.729,0.76
MRPC (SNEA-α=0.8),BLEU,400,189,161,39,11,0.54,0.945,0.687,0.677
MRPC (SNEA-α=0.8),BERTScore,400,180,95,105,20,0.655,0.9,0.758,0.816
MRPC (SNEA-α=0.8),all-MiniLM-L6-v2,400,185,127,73,15,0.593,0.925,0.723,0.748
MRPC (SNEA-α=0.8),sentence-t5-base,400,183,95,105,17,0.658,0.915,0.766,0.816
MRPC (SNEA-α=0.9),SNEA-BERT α=0.9 (Our Method),400,171,130,70,29,0.568,0.855,0.683,0.671
MRPC (SNEA-α=0.9),ROUGE-1,400,186,113,87,14,0.622,0.93,0.745,0.784
MRPC (SNEA-α=0.9),ROUGE-2,400,180,120,80,20,0.6,0.9,0.72,0.721
MRPC (SNEA-α=0.9),ROUGE-L,400,186,124,76,14,0.6,0.93,0.729,0.76
MRPC (SNEA-α=0.9),BLEU,400,189,161,39,11,0.54,0.945,0.687,0.677
MRPC (SNEA-α=0.9),BERTScore,400,180,95,105,20,0.655,0.9,0.758,0.816
MRPC (SNEA-α=0.9),all-MiniLM-L6-v2,400,185,127,73,15,0.593,0.925,0.723,0.748
MRPC (SNEA-α=0.9),sentence-t5-base,400,183,95,105,17,0.658,0.915,0.766,0.816
MRPC (SNEA-α=1.0),SNEA-BERT α=1.0 (Our Method),400,174,137,63,26,0.559,0.87,0.681,0.671
MRPC (SNEA-α=1.0),ROUGE-1,400,186,113,87,14,0.622,0.93,0.745,0.784
MRPC (SNEA-α=1.0),ROUGE-2,400,180,120,80,20,0.6,0.9,0.72,0.721
MRPC (SNEA-α=1.0),ROUGE-L,400,186,124,76,14,0.6,0.93,0.729,0.76
MRPC (SNEA-α=1.0),BLEU,400,189,161,39,11,0.54,0.945,0.687,0.677
MRPC (SNEA-α=1.0),BERTScore,400,180,95,105,20,0.655,0.9,0.758,0.816
MRPC (SNEA-α=1.0),all-MiniLM-L6-v2,400,185,127,73,15,0.593,0.925,0.723,0.748
MRPC (SNEA-α=1.0),sentence-t5-base,400,183,95,105,17,0.658,0.915,0.766,0.816
PAWS-Wiki (SNEA-α=0.0),SNEA-BERT α=0.0 (Our Method),400,154,90,110,46,0.631,0.77,0.694,0.739
PAWS-Wiki (SNEA-α=0.0),ROUGE-1,400,198,186,14,2,0.516,0.99,0.678,0.49
PAWS-Wiki (SNEA-α=0.0),ROUGE-2,400,187,136,64,13,0.579,0.935,0.715,0.721
PAWS-Wiki (SNEA-α=0.0),ROUGE-L,400,166,86,114,34,0.659,0.83,0.735,0.807
PAWS-Wiki (SNEA-α=0.0),BLEU,400,168,101,99,32,0.625,0.84,0.716,0.747
PAWS-Wiki (SNEA-α=0.0),BERTScore,400,182,145,55,18,0.557,0.91,0.691,0.702
PAWS-Wiki (SNEA-α=0.0),all-MiniLM-L6-v2,400,183,150,50,17,0.55,0.915,0.687,0.638
PAWS-Wiki (SNEA-α=0.0),sentence-t5-base,400,182,158,42,18,0.535,0.91,0.674,0.668
PAWS-Wiki (SNEA-α=0.1),SNEA-BERT α=0.1 (Our Method),400,156,63,137,44,0.712,0.78,0.745,0.781
PAWS-Wiki (SNEA-α=0.1),ROUGE-1,400,198,186,14,2,0.516,0.99,0.678,0.49
PAWS-Wiki (SNEA-α=0.1),ROUGE-2,400,187,136,64,13,0.579,0.935,0.715,0.721
PAWS-Wiki (SNEA-α=0.1),ROUGE-L,400,166,86,114,34,0.659,0.83,0.735,0.807
PAWS-Wiki (SNEA-α=0.1),BLEU,400,168,101,99,32,0.625,0.84,0.716,0.747
PAWS-Wiki (SNEA-α=0.1),BERTScore,400,182,145,55,18,0.557,0.91,0.691,0.702
PAWS-Wiki (SNEA-α=0.1),all-MiniLM-L6-v2,400,183,150,50,17,0.55,0.915,0.687,0.638
PAWS-Wiki (SNEA-α=0.1),sentence-t5-base,400,182,158,42,18,0.535,0.91,0.674,0.668
PAWS-Wiki (SNEA-α=0.2),SNEA-BERT α=0.2 (Our Method),400,166,71,129,34,0.7,0.83,0.76,0.79
PAWS-Wiki (SNEA-α=0.2),ROUGE-1,400,198,186,14,2,0.516,0.99,0.678,0.49
PAWS-Wiki (SNEA-α=0.2),ROUGE-2,400,187,136,64,13,0.579,0.935,0.715,0.721
PAWS-Wiki (SNEA-α=0.2),ROUGE-L,400,166,86,114,34,0.659,0.83,0.735,0.807
PAWS-Wiki (SNEA-α=0.2),BLEU,400,168,101,99,32,0.625,0.84,0.716,0.747
PAWS-Wiki (SNEA-α=0.2),BERTScore,400,182,145,55,18,0.557,0.91,0.691,0.702
PAWS-Wiki (SNEA-α=0.2),all-MiniLM-L6-v2,400,183,150,50,17,0.55,0.915,0.687,0.638
PAWS-Wiki (SNEA-α=0.2),sentence-t5-base,400,182,158,42,18,0.535,0.91,0.674,0.668
PAWS-Wiki (SNEA-α=0.3),SNEA-BERT α=0.3 (Our Method),400,168,72,128,32,0.7,0.84,0.764,0.793
PAWS-Wiki (SNEA-α=0.3),ROUGE-1,400,198,186,14,2,0.516,0.99,0.678,0.49
PAWS-Wiki (SNEA-α=0.3),ROUGE-2,400,187,136,64,13,0.579,0.935,0.715,0.721
PAWS-Wiki (SNEA-α=0.3),ROUGE-L,400,166,86,114,34,0.659,0.83,0.735,0.807
PAWS-Wiki (SNEA-α=0.3),BLEU,400,168,101,99,32,0.625,0.84,0.716,0.747
PAWS-Wiki (SNEA-α=0.3),BERTScore,400,182,145,55,18,0.557,0.91,0.691,0.702
PAWS-Wiki (SNEA-α=0.3),all-MiniLM-L6-v2,400,183,150,50,17,0.55,0.915,0.687,0.638
PAWS-Wiki (SNEA-α=0.3),sentence-t5-base,400,182,158,42,18,0.535,0.91,0.674,0.668
PAWS-Wiki (SNEA-α=0.4),SNEA-BERT α=0.4 (Our Method),400,172,78,122,28,0.688,0.86,0.764,0.795
PAWS-Wiki (SNEA-α=0.4),ROUGE-1,400,198,186,14,2,0.516,0.99,0.678,0.49
PAWS-Wiki (SNEA-α=0.4),ROUGE-2,400,187,136,64,13,0.579,0.935,0.715,0.721
PAWS-Wiki (SNEA-α=0.4),ROUGE-L,400,166,86,114,34,0.659,0.83,0.735,0.807
PAWS-Wiki (SNEA-α=0.4),BLEU,400,168,101,99,32,0.625,0.84,0.716,0.747
PAWS-Wiki (SNEA-α=0.4),BERTScore,400,182,145,55,18,0.557,0.91,0.691,0.702
PAWS-Wiki (SNEA-α=0.4),all-MiniLM-L6-v2,400,183,150,50,17,0.55,0.915,0.687,0.638
PAWS-Wiki (SNEA-α=0.4),sentence-t5-base,400,182,158,42,18,0.535,0.91,0.674,0.668
PAWS-Wiki (SNEA-α=0.5),SNEA-BERT α=0.5 (Our Method),400,170,74,126,30,0.697,0.85,0.766,0.795
PAWS-Wiki (SNEA-α=0.5),ROUGE-1,400,198,186,14,2,0.516,0.99,0.678,0.49
PAWS-Wiki (SNEA-α=0.5),ROUGE-2,400,187,136,64,13,0.579,0.935,0.715,0.721
PAWS-Wiki (SNEA-α=0.5),ROUGE-L,400,166,86,114,34,0.659,0.83,0.735,0.807
PAWS-Wiki (SNEA-α=0.5),BLEU,400,168,101,99,32,0.625,0.84,0.716,0.747
PAWS-Wiki (SNEA-α=0.5),BERTScore,400,182,145,55,18,0.557,0.91,0.691,0.702
PAWS-Wiki (SNEA-α=0.5),all-MiniLM-L6-v2,400,183,150,50,17,0.55,0.915,0.687,0.638
PAWS-Wiki (SNEA-α=0.5),sentence-t5-base,400,182,158,42,18,0.535,0.91,0.674,0.668
PAWS-Wiki (SNEA-α=0.6),SNEA-BERT α=0.6 (Our Method),400,172,78,122,28,0.688,0.86,0.764,0.795
PAWS-Wiki (SNEA-α=0.6),ROUGE-1,400,198,186,14,2,0.516,0.99,0.678,0.49
PAWS-Wiki (SNEA-α=0.6),ROUGE-2,400,187,136,64,13,0.579,0.935,0.715,0.721
PAWS-Wiki (SNEA-α=0.6),ROUGE-L,400,166,86,114,34,0.659,0.83,0.735,0.807
PAWS-Wiki (SNEA-α=0.6),BLEU,400,168,101,99,32,0.625,0.84,0.716,0.747
PAWS-Wiki (SNEA-α=0.6),BERTScore,400,182,145,55,18,0.557,0.91,0.691,0.702
PAWS-Wiki (SNEA-α=0.6),all-MiniLM-L6-v2,400,183,150,50,17,0.55,0.915,0.687,0.638
PAWS-Wiki (SNEA-α=0.6),sentence-t5-base,400,182,158,42,18,0.535,0.91,0.674,0.668
PAWS-Wiki (SNEA-α=0.7),SNEA-BERT α=0.7 (Our Method),400,170,75,125,30,0.694,0.85,0.764,0.795
PAWS-Wiki (SNEA-α=0.7),ROUGE-1,400,198,186,14,2,0.516,0.99,0.678,0.49
PAWS-Wiki (SNEA-α=0.7),ROUGE-2,400,187,136,64,13,0.579,0.935,0.715,0.721
PAWS-Wiki (SNEA-α=0.7),ROUGE-L,400,166,86,114,34,0.659,0.83,0.735,0.807
PAWS-Wiki (SNEA-α=0.7),BLEU,400,168,101,99,32,0.625,0.84,0.716,0.747
PAWS-Wiki (SNEA-α=0.7),BERTScore,400,182,145,55,18,0.557,0.91,0.691,0.702
PAWS-Wiki (SNEA-α=0.7),all-MiniLM-L6-v2,400,183,150,50,17,0.55,0.915,0.687,0.638
PAWS-Wiki (SNEA-α=0.7),sentence-t5-base,400,182,158,42,18,0.535,0.91,0.674,0.668
PAWS-Wiki (SNEA-α=0.8),SNEA-BERT α=0.8 (Our Method),400,172,78,122,28,0.688,0.86,0.764,0.795
PAWS-Wiki (SNEA-α=0.8),ROUGE-1,400,198,186,14,2,0.516,0.99,0.678,0.49
PAWS-Wiki (SNEA-α=0.8),ROUGE-2,400,187,136,64,13,0.579,0.935,0.715,0.721
PAWS-Wiki (SNEA-α=0.8),ROUGE-L,400,166,86,114,34,0.659,0.83,0.735,0.807
PAWS-Wiki (SNEA-α=0.8),BLEU,400,168,101,99,32,0.625,0.84,0.716,0.747
PAWS-Wiki (SNEA-α=0.8),BERTScore,400,182,145,55,18,0.557,0.91,0.691,0.702
PAWS-Wiki (SNEA-α=0.8),all-MiniLM-L6-v2,400,183,150,50,17,0.55,0.915,0.687,0.638
PAWS-Wiki (SNEA-α=0.8),sentence-t5-base,400,182,158,42,18,0.535,0.91,0.674,0.668
PAWS-Wiki (SNEA-α=0.9),SNEA-BERT α=0.9 (Our Method),400,172,78,122,28,0.688,0.86,0.764,0.795
PAWS-Wiki (SNEA-α=0.9),ROUGE-1,400,198,186,14,2,0.516,0.99,0.678,0.49
PAWS-Wiki (SNEA-α=0.9),ROUGE-2,400,187,136,64,13,0.579,0.935,0.715,0.721
PAWS-Wiki (SNEA-α=0.9),ROUGE-L,400,166,86,114,34,0.659,0.83,0.735,0.807
PAWS-Wiki (SNEA-α=0.9),BLEU,400,168,101,99,32,0.625,0.84,0.716,0.747
PAWS-Wiki (SNEA-α=0.9),BERTScore,400,182,145,55,18,0.557,0.91,0.691,0.702
PAWS-Wiki (SNEA-α=0.9),all-MiniLM-L6-v2,400,183,150,50,17,0.55,0.915,0.687,0.638
PAWS-Wiki (SNEA-α=0.9),sentence-t5-base,400,182,158,42,18,0.535,0.91,0.674,0.668
PAWS-Wiki (SNEA-α=1.0),SNEA-BERT α=1.0 (Our Method),400,172,78,122,28,0.688,0.86,0.764,0.731
PAWS-Wiki (SNEA-α=1.0),ROUGE-1,400,198,186,14,2,0.516,0.99,0.678,0.49
PAWS-Wiki (SNEA-α=1.0),ROUGE-2,400,187,136,64,13,0.579,0.935,0.715,0.721
PAWS-Wiki (SNEA-α=1.0),ROUGE-L,400,166,86,114,34,0.659,0.83,0.735,0.807
PAWS-Wiki (SNEA-α=1.0),BLEU,400,168,101,99,32,0.625,0.84,0.716,0.747
PAWS-Wiki (SNEA-α=1.0),BERTScore,400,182,145,55,18,0.557,0.91,0.691,0.702
PAWS-Wiki (SNEA-α=1.0),all-MiniLM-L6-v2,400,183,150,50,17,0.55,0.915,0.687,0.638
PAWS-Wiki (SNEA-α=1.0),sentence-t5-base,400,182,158,42,18,0.535,0.91,0.674,0.668
STS12 (SNEA-α=0.0),SNEA-BERT α=0.0 (Our Method),400,157,44,156,43,0.781,0.785,0.783,0.828
STS12 (SNEA-α=0.0),ROUGE-1,400,175,108,92,25,0.618,0.875,0.725,0.754
STS12 (SNEA-α=0.0),ROUGE-2,400,175,139,61,25,0.557,0.875,0.681,0.656
STS12 (SNEA-α=0.0),ROUGE-L,400,168,110,90,32,0.604,0.84,0.703,0.71
STS12 (SNEA-α=0.0),BLEU,400,171,139,61,29,0.552,0.855,0.671,0.644
STS12 (SNEA-α=0.0),BERTScore,400,197,181,19,3,0.521,0.985,0.682,0.636
STS12 (SNEA-α=0.0),all-MiniLM-L6-v2,400,180,52,148,20,0.776,0.9,0.833,0.894
STS12 (SNEA-α=0.0),sentence-t5-base,400,171,30,170,29,0.851,0.855,0.853,0.928
STS12 (SNEA-α=0.1),SNEA-BERT α=0.1 (Our Method),400,162,50,150,38,0.764,0.81,0.786,0.834
STS12 (SNEA-α=0.1),ROUGE-1,400,175,108,92,25,0.618,0.875,0.725,0.754
STS12 (SNEA-α=0.1),ROUGE-2,400,175,139,61,25,0.557,0.875,0.681,0.656
STS12 (SNEA-α=0.1),ROUGE-L,400,168,110,90,32,0.604,0.84,0.703,0.71
STS12 (SNEA-α=0.1),BLEU,400,171,139,61,29,0.552,0.855,0.671,0.644
STS12 (SNEA-α=0.1),BERTScore,400,197,181,19,3,0.521,0.985,0.682,0.636
STS12 (SNEA-α=0.1),all-MiniLM-L6-v2,400,180,52,148,20,0.776,0.9,0.833,0.894
STS12 (SNEA-α=0.1),sentence-t5-base,400,171,30,170,29,0.851,0.855,0.853,0.928
STS12 (SNEA-α=0.2),SNEA-BERT α=0.2 (Our Method),400,163,55,145,37,0.748,0.815,0.78,0.834
STS12 (SNEA-α=0.2),ROUGE-1,400,175,108,92,25,0.618,0.875,0.725,0.754
STS12 (SNEA-α=0.2),ROUGE-2,400,175,139,61,25,0.557,0.875,0.681,0.656
STS12 (SNEA-α=0.2),ROUGE-L,400,168,110,90,32,0.604,0.84,0.703,0.71
STS12 (SNEA-α=0.2),BLEU,400,171,139,61,29,0.552,0.855,0.671,0.644
STS12 (SNEA-α=0.2),BERTScore,400,197,181,19,3,0.521,0.985,0.682,0.636
STS12 (SNEA-α=0.2),all-MiniLM-L6-v2,400,180,52,148,20,0.776,0.9,0.833,0.894
STS12 (SNEA-α=0.2),sentence-t5-base,400,171,30,170,29,0.851,0.855,0.853,0.928
STS12 (SNEA-α=0.4),SNEA-BERT α=0.4 (Our Method),400,170,66,134,30,0.72,0.85,0.78,0.827
STS12 (SNEA-α=0.4),ROUGE-1,400,175,108,92,25,0.618,0.875,0.725,0.754
STS12 (SNEA-α=0.4),ROUGE-2,400,175,139,61,25,0.557,0.875,0.681,0.656
STS12 (SNEA-α=0.4),ROUGE-L,400,168,110,90,32,0.604,0.84,0.703,0.71
STS12 (SNEA-α=0.4),BLEU,400,171,139,61,29,0.552,0.855,0.671,0.644
STS12 (SNEA-α=0.4),BERTScore,400,197,181,19,3,0.521,0.985,0.682,0.636
STS12 (SNEA-α=0.4),all-MiniLM-L6-v2,400,180,52,148,20,0.776,0.9,0.833,0.894
STS12 (SNEA-α=0.4),sentence-t5-base,400,171,30,170,29,0.851,0.855,0.853,0.928
STS12 (SNEA-α=0.5),SNEA-BERT α=0.5 (Our Method),400,169,67,133,31,0.716,0.845,0.775,0.824
STS12 (SNEA-α=0.5),ROUGE-1,400,175,108,92,25,0.618,0.875,0.725,0.754
STS12 (SNEA-α=0.5),ROUGE-2,400,175,139,61,25,0.557,0.875,0.681,0.656
STS12 (SNEA-α=0.5),ROUGE-L,400,168,110,90,32,0.604,0.84,0.703,0.71
STS12 (SNEA-α=0.5),BLEU,400,171,139,61,29,0.552,0.855,0.671,0.644
STS12 (SNEA-α=0.5),BERTScore,400,197,181,19,3,0.521,0.985,0.682,0.636
STS12 (SNEA-α=0.5),all-MiniLM-L6-v2,400,180,52,148,20,0.776,0.9,0.833,0.894
STS12 (SNEA-α=0.5),sentence-t5-base,400,171,30,170,29,0.851,0.855,0.853,0.928
STS12 (SNEA-α=0.6),SNEA-BERT α=0.6 (Our Method),400,164,63,137,36,0.722,0.82,0.768,0.82
STS12 (SNEA-α=0.6),ROUGE-1,400,175,108,92,25,0.618,0.875,0.725,0.754
STS12 (SNEA-α=0.6),ROUGE-2,400,175,139,61,25,0.557,0.875,0.681,0.656
STS12 (SNEA-α=0.6),ROUGE-L,400,168,110,90,32,0.604,0.84,0.703,0.71
STS12 (SNEA-α=0.6),BLEU,400,171,139,61,29,0.552,0.855,0.671,0.644
STS12 (SNEA-α=0.6),BERTScore,400,197,181,19,3,0.521,0.985,0.682,0.636
STS12 (SNEA-α=0.6),all-MiniLM-L6-v2,400,180,52,148,20,0.776,0.9,0.833,0.894
STS12 (SNEA-α=0.6),sentence-t5-base,400,171,30,170,29,0.851,0.855,0.853,0.928
STS12 (SNEA-α=0.7),SNEA-BERT α=0.7 (Our Method),400,165,67,133,35,0.711,0.825,0.764,0.815
STS12 (SNEA-α=0.7),ROUGE-1,400,175,108,92,25,0.618,0.875,0.725,0.754
STS12 (SNEA-α=0.7),ROUGE-2,400,175,139,61,25,0.557,0.875,0.681,0.656
STS12 (SNEA-α=0.7),ROUGE-L,400,168,110,90,32,0.604,0.84,0.703,0.71
STS12 (SNEA-α=0.7),BLEU,400,171,139,61,29,0.552,0.855,0.671,0.644
STS12 (SNEA-α=0.7),BERTScore,400,197,181,19,3,0.521,0.985,0.682,0.636
STS12 (SNEA-α=0.7),all-MiniLM-L6-v2,400,180,52,148,20,0.776,0.9,0.833,0.894
STS12 (SNEA-α=0.7),sentence-t5-base,400,171,30,170,29,0.851,0.855,0.853,0.928
STS12 (SNEA-α=0.8),SNEA-BERT α=0.8 (Our Method),400,165,68,132,35,0.708,0.825,0.762,0.81
STS12 (SNEA-α=0.8),ROUGE-1,400,175,108,92,25,0.618,0.875,0.725,0.754
STS12 (SNEA-α=0.8),ROUGE-2,400,175,139,61,25,0.557,0.875,0.681,0.656
STS12 (SNEA-α=0.8),ROUGE-L,400,168,110,90,32,0.604,0.84,0.703,0.71
STS12 (SNEA-α=0.8),BLEU,400,171,139,61,29,0.552,0.855,0.671,0.644
STS12 (SNEA-α=0.8),BERTScore,400,197,181,19,3,0.521,0.985,0.682,0.636
STS12 (SNEA-α=0.8),all-MiniLM-L6-v2,400,180,52,148,20,0.776,0.9,0.833,0.894
STS12 (SNEA-α=0.8),sentence-t5-base,400,171,30,170,29,0.851,0.855,0.853,0.928
STS12 (SNEA-α=0.9),SNEA-BERT α=0.9 (Our Method),400,163,68,132,37,0.706,0.815,0.756,0.805
STS12 (SNEA-α=0.9),ROUGE-1,400,175,108,92,25,0.618,0.875,0.725,0.754
STS12 (SNEA-α=0.9),ROUGE-2,400,175,139,61,25,0.557,0.875,0.681,0.656
STS12 (SNEA-α=0.9),ROUGE-L,400,168,110,90,32,0.604,0.84,0.703,0.71
STS12 (SNEA-α=0.9),BLEU,400,171,139,61,29,0.552,0.855,0.671,0.644
STS12 (SNEA-α=0.9),BERTScore,400,197,181,19,3,0.521,0.985,0.682,0.636
STS12 (SNEA-α=0.9),all-MiniLM-L6-v2,400,180,52,148,20,0.776,0.9,0.833,0.894
STS12 (SNEA-α=0.9),sentence-t5-base,400,171,30,170,29,0.851,0.855,0.853,0.928
STS12 (SNEA-α=1.0),SNEA-BERT α=1.0 (Our Method),400,163,68,132,37,0.706,0.815,0.756,0.79
STS12 (SNEA-α=1.0),ROUGE-1,400,175,108,92,25,0.618,0.875,0.725,0.754
STS12 (SNEA-α=1.0),ROUGE-2,400,175,139,61,25,0.557,0.875,0.681,0.656
STS12 (SNEA-α=1.0),ROUGE-L,400,168,110,90,32,0.604,0.84,0.703,0.71
STS12 (SNEA-α=1.0),BLEU,400,171,139,61,29,0.552,0.855,0.671,0.644
STS12 (SNEA-α=1.0),BERTScore,400,197,181,19,3,0.521,0.985,0.682,0.636
STS12 (SNEA-α=1.0),all-MiniLM-L6-v2,400,180,52,148,20,0.776,0.9,0.833,0.894
STS12 (SNEA-α=1.0),sentence-t5-base,400,171,30,170,29,0.851,0.855,0.853,0.928
Semantic-KG Combined (SNEA-α=0.0),SNEA-BERT α=0.0 (Our Method),400,182,88,112,18,0.675,0.912,0.776,0.801
Semantic-KG Combined (SNEA-α=0.0),ROUGE-1,400,185,121,79,15,0.605,0.927,0.732,0.728
Semantic-KG Combined (SNEA-α=0.0),ROUGE-2,400,170,110,90,30,0.606,0.849,0.707,0.711
Semantic-KG Combined (SNEA-α=0.0),ROUGE-L,400,191,138,62,9,0.58,0.956,0.722,0.717
Semantic-KG Combined (SNEA-α=0.0),BLEU,400,187,136,64,13,0.578,0.937,0.715,0.708
Semantic-KG Combined (SNEA-α=0.0),BERTScore,400,190,112,88,10,0.629,0.951,0.757,0.792
Semantic-KG Combined (SNEA-α=0.0),all-MiniLM-L6-v2,400,199,118,82,1,0.628,0.995,0.77,0.789
Semantic-KG Combined (SNEA-α=0.0),sentence-t5-base,400,168,68,132,32,0.711,0.839,0.77,0.827
Semantic-KG Combined (SNEA-α=0.1),SNEA-BERT α=0.1 (Our Method),400,164,51,149,36,0.764,0.82,0.791,0.825
Semantic-KG Combined (SNEA-α=0.1),ROUGE-1,400,185,121,79,15,0.605,0.927,0.732,0.728
Semantic-KG Combined (SNEA-α=0.1),ROUGE-2,400,170,110,90,30,0.606,0.849,0.707,0.711
Semantic-KG Combined (SNEA-α=0.1),ROUGE-L,400,191,138,62,9,0.58,0.956,0.722,0.717
Semantic-KG Combined (SNEA-α=0.1),BLEU,400,187,136,64,13,0.578,0.937,0.715,0.708
Semantic-KG Combined (SNEA-α=0.1),BERTScore,400,190,112,88,10,0.629,0.951,0.757,0.792
Semantic-KG Combined (SNEA-α=0.1),all-MiniLM-L6-v2,400,199,118,82,1,0.628,0.995,0.77,0.789
Semantic-KG Combined (SNEA-α=0.1),sentence-t5-base,400,168,68,132,32,0.711,0.839,0.77,0.827
Semantic-KG Combined (SNEA-α=0.2),SNEA-BERT α=0.2 (Our Method),400,175,52,148,25,0.772,0.873,0.819,0.829
Semantic-KG Combined (SNEA-α=0.2),ROUGE-1,400,185,121,79,15,0.605,0.927,0.732,0.728
Semantic-KG Combined (SNEA-α=0.2),ROUGE-2,400,170,110,90,30,0.606,0.849,0.707,0.711
Semantic-KG Combined (SNEA-α=0.2),ROUGE-L,400,191,138,62,9,0.58,0.956,0.722,0.717
Semantic-KG Combined (SNEA-α=0.2),BLEU,400,187,136,64,13,0.578,0.937,0.715,0.708
Semantic-KG Combined (SNEA-α=0.2),BERTScore,400,190,112,88,10,0.629,0.951,0.757,0.792
Semantic-KG Combined (SNEA-α=0.2),all-MiniLM-L6-v2,400,199,118,82,1,0.628,0.995,0.77,0.789
