id,paragraph_1,kg_1,paragraph_2,kg_2
24,"The drug Rilpivirine affects the cytochrome P450 family 3 subfamily A member 5 and increases the risk of bradycardia. Additionally, Pantoprazole decreases the efficacy of Incadronic acid and Rilpivirine by targeting the fatty acid synthase.","[[""Rilpivirine"", ""affects"", ""cytochrome_P450_family_3_subfamily_A_member_5""], [""Rilpivirine"", ""increases_risk_of"", ""bradycardia""], [""Pantoprazole"", ""decreases_efficacy_of"", ""Incadronic_acid""], [""Pantoprazole"", ""decreases_efficacy_of"", ""Rilpivirine""], [""Pantoprazole"", ""targets"", ""fatty_acid_synthase""]]","The drug Rilpivirine affects cytochrome P450 family 3 subfamily A member 5 and decreases the effect of bradycardia. Additionally, Pantoprazole decreases the efficacy of Incadronic acid and Rilpivirine by targeting fatty acid synthase.","[[""Rilpivirine"", ""affects"", ""cytochrome_P450_family_3_subfamily_A_member_5""], [""Rilpivirine"", ""decreases_effect_of"", ""bradycardia""], [""Pantoprazole"", ""decreases_efficacy_of"", ""Incadronic_acid""], [""Pantoprazole"", ""decreases_efficacy_of"", ""Rilpivirine""], [""Pantoprazole"", ""targets"", ""fatty_acid_synthase""]]"
25,"The drug potassium bitartrate decreases the efficacy of procyclidine, fesoterodine, and chlorphenoxamine. Cyproheptadine also decreases the efficacy of duloxetine and potassium bitartrate. Cyproheptadine has an indication for Urticaria physical. Chlorphenoxamine decreases the efficacy of ipidacrine and sodium ascorbate. Duloxetine has side effects including Alopecia, Urinary tract infection, and Hepatic enzyme increased.","[[""potassium_bitartrate"", ""decreases_efficacy_of"", ""procyclidine""], [""potassium_bitartrate"", ""decreases_efficacy_of"", ""fesoterodine""], [""potassium_bitartrate"", ""decreases_efficacy_of"", ""chlorphenoxamine""], [""cyproheptadine"", ""decreases_efficacy_of"", ""duloxetine""], [""cyproheptadine"", ""decreases_efficacy_of"", ""potassium_bitartrate""], [""cyproheptadine"", ""indication_for"", ""Urticaria_physical""], [""chlorphenoxamine"", ""decreases_efficacy_of"", ""ipidacrine""], [""chlorphenoxamine"", ""decreases_efficacy_of"", ""sodium_ascorbate""], [""duloxetine"", ""has_side_effect"", ""Alopecia""], [""duloxetine"", ""has_side_effect"", ""Urinary_tract_infection""], [""duloxetine"", ""has_side_effect"", ""Hepatic_enzyme_increased""]]","Potassium bitartrate decreases the efficacy of procyclidine, fesoterodine, and chlorphenoxamine. Cyproheptadine also reduces the efficacy of duloxetine and potassium bitartrate while having an indication for urticaria physical. Chlorphenoxamine decreases the efficacy of ipidacrine and sodium ascorbate. On the other hand, duloxetine is associated with side effects such as alopecia, urinary tract infection, and increased hepatic enzymes.","[[""potassium_bitartrate"", ""decreases_efficacy_of"", ""procyclidine""], [""potassium_bitartrate"", ""decreases_efficacy_of"", ""fesoterodine""], [""potassium_bitartrate"", ""decreases_efficacy_of"", ""chlorphenoxamine""], [""cyproheptadine"", ""reduces_efficacy_of"", ""duloxetine""], [""cyproheptadine"", ""reduces_efficacy_of"", ""potassium_bitartrate""], [""cyproheptadine"", ""indication_for"", ""urticaria_physical""], [""chlorphenoxamine"", ""decreases_efficacy_of"", ""ipidacrine""], [""chlorphenoxamine"", ""decreases_efficacy_of"", ""sodium_ascorbate""], [""duloxetine"", ""associated_with"", ""alopecia""], [""duloxetine"", ""associated_with"", ""urinary_tract_infection""], [""duloxetine"", ""associated_with"", ""increased_hepatic_enzymes""]]"
26,"Risperidone increases the risk of bradycardia and has side effects including cholelithiasis and aggressive reaction. Perospirone exhibits antipsychotic activities. Benserazide reduces the efficacy of risperidone, thioproperazine, and perospirone.","[[""Risperidone"", ""increases_risk_of"", ""bradycardia""], [""Risperidone"", ""has_side_effect"", ""cholelithiasis""], [""Risperidone"", ""has_side_effect"", ""aggressive_reaction""], [""Perospirone"", ""exhibits"", ""antipsychotic_activities""], [""Benserazide"", ""reduces_efficacy_of"", ""Risperidone""], [""Benserazide"", ""reduces_efficacy_of"", ""Thioproperazine""], [""Benserazide"", ""reduces_efficacy_of"", ""Perospirone""]]","The drug risperidone has side effects including cholelithiasis and aggressive reaction. It also decreases the effect of bradycardia. Additionally, benserazide decreases the efficacy of risperidone, thioproperazine, and perospirone. Perospirone, on the other hand, exhibits antipsychotic activities.","[[""Risperidone"", ""has_side_effect"", ""cholelithiasis""], [""Risperidone"", ""has_side_effect"", ""aggressive_reaction""], [""Risperidone"", ""decreases_effect_of"", ""bradycardia""], [""Benserazide"", ""decreases_efficacy_of"", ""Risperidone""], [""Benserazide"", ""decreases_efficacy_of"", ""Thioproperazine""], [""Benserazide"", ""decreases_efficacy_of"", ""Perospirone""], [""Perospirone"", ""exhibits"", ""antipsychotic_activities""]]"
27,"Cabergoline decreases the efficacy of prochlorperazine, periciazine, and gilteritinib. In turn, gilteritinib decreases the efficacy of palonosetron, isocarboxazid, and lurasidone. Periciazine decreases the efficacy of rasagiline and detomidine, while also having the side effect of hyperpyrexia. Prochlorperazine has side effects including apnoea, dysphagia, and autonomic nervous system imbalance.","[[""Cabergoline"", ""decreases_efficacy_of"", ""prochlorperazine""], [""Cabergoline"", ""decreases_efficacy_of"", ""periciazine""], [""Cabergoline"", ""decreases_efficacy_of"", ""gilteritinib""], [""Gilteritinib"", ""decreases_efficacy_of"", ""palonosetron""], [""Gilteritinib"", ""decreases_efficacy_of"", ""isocarboxazid""], [""Gilteritinib"", ""decreases_efficacy_of"", ""lurasidone""], [""Periciazine"", ""decreases_efficacy_of"", ""rasagiline""], [""Periciazine"", ""decreases_efficacy_of"", ""detomidine""], [""Periciazine"", ""has_side_effect"", ""hyperpyrexia""], [""Prochlorperazine"", ""has_side_effect"", ""apnoea""], [""Prochlorperazine"", ""has_side_effect"", ""dysphagia""], [""Prochlorperazine"", ""has_side_effect"", ""autonomic_nervous_system_imbalance""]]","Cabergoline decreases the efficacy of prochlorperazine, periciazine, and gilteritinib. Gilteritinib, in turn, decreases the efficacy of palonosetron, isocarboxazid, and lurasidone. Periciazine decreases the efficacy of rasagiline and detomidine while also causing the side effect hyperpyrexia. Prochlorperazine has side effects such as apnoea, dysphagia, and autonomic nervous system imbalance.","[[""Cabergoline"", ""decreases_efficacy_of"", ""prochlorperazine""], [""Cabergoline"", ""decreases_efficacy_of"", ""periciazine""], [""Cabergoline"", ""decreases_efficacy_of"", ""gilteritinib""], [""Gilteritinib"", ""decreases_efficacy_of"", ""palonosetron""], [""Gilteritinib"", ""decreases_efficacy_of"", ""isocarboxazid""], [""Gilteritinib"", ""decreases_efficacy_of"", ""lurasidone""], [""Periciazine"", ""decreases_efficacy_of"", ""rasagiline""], [""Periciazine"", ""decreases_efficacy_of"", ""detomidine""], [""Periciazine"", ""has_side_effect"", ""hyperpyrexia""], [""Prochlorperazine"", ""has_side_effect"", ""apnoea""], [""Prochlorperazine"", ""has_side_effect"", ""dysphagia""], [""Prochlorperazine"", ""has_side_effect"", ""autonomic_nervous_system_imbalance""]]"
28,"The gene GCH1 is known to cause several conditions including hyperphenylalaninemia, dystonia, and autosomal dominant dopa-responsive dystonia. Hyperphenylalaninemia, in turn, presents with phenotypes such as parkinsonism, choreoathetosis, and restlessness. Dystonia, on the other hand, manifests symptoms like spasticity, blepharospasm, and dysarthria.","[[""GCH1"", ""causes"", ""hyperphenylalaninemia""], [""GCH1"", ""causes"", ""dystonia""], [""GCH1"", ""causes"", ""autosomal_dominant_dopa-responsive_dystonia""], [""hyperphenylalaninemia"", ""presents_with"", ""parkinsonism""], [""hyperphenylalaninemia"", ""presents_with"", ""choreoathetosis""], [""hyperphenylalaninemia"", ""presents_with"", ""restlessness""], [""dystonia"", ""manifests"", ""spasticity""], [""dystonia"", ""manifests"", ""blepharospasm""], [""dystonia"", ""manifests"", ""dysarthria""]]","The gene GCH1 is known to cause several conditions including hyperphenylalaninemia, dystonia, and autosomal dominant dopa-responsive dystonia.

Hyperphenylalaninemia, a condition resulting from GCH1 mutations, manifests with phenotypes such as parkinsonism, choreoathetosis, and restlessness.

Dystonia, also linked to GCH1, presents with symptoms like spasticity, blepharospasm, and dysarthria.","[[""GCH1"", ""causes"", ""hyperphenylalaninemia""], [""GCH1"", ""causes"", ""dystonia""], [""GCH1"", ""causes"", ""autosomal_dominant_dopa-responsive_dystonia""], [""hyperphenylalaninemia"", ""results_from"", ""GCH1_mutations""], [""hyperphenylalaninemia"", ""manifests_with"", ""parkinsonism""], [""hyperphenylalaninemia"", ""manifests_with"", ""choreoathetosis""], [""hyperphenylalaninemia"", ""manifests_with"", ""restlessness""], [""dystonia"", ""linked_to"", ""GCH1""], [""dystonia"", ""presents_with"", ""spasticity""], [""dystonia"", ""presents_with"", ""blepharospasm""], [""dystonia"", ""presents_with"", ""dysarthria""]]"
29,"Botulinum toxin type B increases the effect of CNS depression and sedation. It also increases the efficacy of botulinum toxin type A, which in turn increases the efficacy of lymecycline and magnesium citrate.","[[""Botulinum_toxin_type_B"", ""increases"", ""CNS_depression""], [""Botulinum_toxin_type_B"", ""increases"", ""sedation""], [""Botulinum_toxin_type_B"", ""increases"", ""botulinum_toxin_type_A""], [""botulinum_toxin_type_A"", ""increases"", ""lymecycline""], [""botulinum_toxin_type_A"", ""increases"", ""magnesium_citrate""]]","The botulinum toxin type B increases the effects of sedation and the efficacy of botulinum toxin type A, while decreasing the effects of CNS depression. Botulinum toxin type A enhances the efficacy of lymecycline and magnesium citrate.","[[""Botulinum_toxin_type_B"", ""increases"", ""sedation""], [""Botulinum_toxin_type_B"", ""decreases"", ""CNS_depression""], [""Botulinum_toxin_type_B"", ""increases"", ""botulinum_toxin_type_A""], [""botulinum_toxin_type_A"", ""increases"", ""lymecycline""], [""botulinum_toxin_type_A"", ""increases"", ""magnesium_citrate""]]"
30,"The drug delafloxacin increases its efficacy when used in combination with phenindione and evogliptin, but it also increases adverse effects. Chlorthalidone decreases the efficacy of fentiazac, taspoglutide, and serdexmethylphenidate. Phentermine targets the sodium-dependent dopamine transporter and decreases the efficacy of brexpiprazole. Ertugliflozin enhances the efficacy of phentermine and delafloxacin while decreasing the efficacy of chlorthalidone.","[[""delafloxacin"", ""increases_efficacy_with"", ""phenindione""], [""delafloxacin"", ""increases_efficacy_with"", ""evogliptin""], [""delafloxacin"", ""increases"", ""adverse_effects""], [""chlorthalidone"", ""decreases_efficacy_of"", ""fentiazac""], [""chlorthalidone"", ""decreases_efficacy_of"", ""taspoglutide""], [""chlorthalidone"", ""decreases_efficacy_of"", ""serdexmethylphenidate""], [""phentermine"", ""targets"", ""sodium-dependent_dopamine_transporter""], [""phentermine"", ""decreases_efficacy_of"", ""brexpiprazole""], [""ertugliflozin"", ""enhances_efficacy_of"", ""phentermine""], [""ertugliflozin"", ""enhances_efficacy_of"", ""delafloxacin""], [""ertugliflozin"", ""decreases_efficacy_of"", ""chlorthalidone""]]","Delafloxacin increases adverse effects and increases the efficacy of phenindione and evogliptin. Chlorthalidone decreases the efficacy of fentiazac, taspoglutide, and serdexmethylphenidate. Phentermine targets the sodium-dependent dopamine transporter and decreases the efficacy of brexpiprazole. Ertugliflozin increases the efficacy of phentermine and delafloxacin, while decreasing the efficacy of chlorthalidone.","[[""delafloxacin"", ""increases_efficacy_of"", ""phenindione""], [""delafloxacin"", ""increases_efficacy_of"", ""evogliptin""], [""delafloxacin"", ""increases"", ""adverse_effects""], [""chlorthalidone"", ""decreases_efficacy_of"", ""fentiazac""], [""chlorthalidone"", ""decreases_efficacy_of"", ""taspoglutide""], [""chlorthalidone"", ""decreases_efficacy_of"", ""serdexmethylphenidate""], [""phentermine"", ""targets"", ""sodium-dependent_dopamine_transporter""], [""phentermine"", ""decreases_efficacy_of"", ""brexpiprazole""], [""ertugliflozin"", ""increases_efficacy_of"", ""phentermine""], [""ertugliflozin"", ""increases_efficacy_of"", ""delafloxacin""], [""ertugliflozin"", ""decreases_efficacy_of"", ""chlorthalidone""]]"
31,"The drug bucindolol increases the efficacy of nateglinide but decreases the efficacy of nebivolol. In addition, bucindolol also increases the efficacy of saxagliptin. Nebivolol, on the other hand, increases the efficacy of both bisegliptin and albiglutide. Nateglinide increases the efficacy of trovafloxacin and azosemide but has a side effect of causing influenza. Saxagliptin increases the efficacy of garenoxacin and phthalylsulfathiazole but decreases the efficacy of lonapegsomatropin.","[[""bucindolol"", ""increases_efficacy_of"", ""nateglinide""], [""bucindolol"", ""decreases_efficacy_of"", ""nebivolol""], [""bucindolol"", ""increases_efficacy_of"", ""saxagliptin""], [""nebivolol"", ""increases_efficacy_of"", ""bisegliptin""], [""nebivolol"", ""increases_efficacy_of"", ""albiglutide""], [""nateglinide"", ""increases_efficacy_of"", ""trovafloxacin""], [""nateglinide"", ""increases_efficacy_of"", ""azosemide""], [""nateglinide"", ""has_side_effect"", ""influenza""], [""saxagliptin"", ""increases_efficacy_of"", ""garenoxacin""], [""saxagliptin"", ""increases_efficacy_of"", ""phthalylsulfathiazole""], [""saxagliptin"", ""decreases_efficacy_of"", ""lonapegsomatropin""]]","The drug bucindolol increases the efficacy of both nateglinide and saxagliptin. Additionally, nateglinide is associated with the side effect of influenza. Saxagliptin also enhances the efficacy of phthalylsulfathiazole.","[[""bucindolol"", ""increases_efficacy_of"", ""nateglinide""], [""bucindolol"", ""increases_efficacy_of"", ""saxagliptin""], [""nateglinide"", ""has_side_effect"", ""influenza""], [""saxagliptin"", ""increases_efficacy_of"", ""phthalylsulfathiazole""]]"
32,"The drug cyanocobalamin decreases the efficacy of linezolid, docetaxel, and cabazitaxel. Linezolid further decreases the efficacy of secobarbital and typhoid vaccine, and has a side effect of Vulvovaginal mycotic infection. Docetaxel has a side effect of Cardiac disorder. Cabazitaxel decreases the efficacy of typhoid vi polysaccharide vaccine, hepatitis b vaccine (recombinant), and modified vaccinia ankara.","[[""cyanocobalamin"", ""decreases_efficacy_of"", ""linezolid""], [""cyanocobalamin"", ""decreases_efficacy_of"", ""docetaxel""], [""cyanocobalamin"", ""decreases_efficacy_of"", ""cabazitaxel""], [""linezolid"", ""decreases_efficacy_of"", ""secobarbital""], [""linezolid"", ""decreases_efficacy_of"", ""typhoid_vaccine""], [""linezolid"", ""has_side_effect"", ""Vulvovaginal_mycotic_infection""], [""docetaxel"", ""has_side_effect"", ""Cardiac_disorder""], [""cabazitaxel"", ""decreases_efficacy_of"", ""typhoid_vi_polysaccharide_vaccine""], [""cabazitaxel"", ""decreases_efficacy_of"", ""hepatitis_b_vaccine_recombinant""], [""cabazitaxel"", ""decreases_efficacy_of"", ""modified_vaccinia_ankara""]]","Cyanocobalamin decreases efficacy of linezolid, docetaxel, and cabazitaxel. Linezolid in turn decreases efficacy of secobarbital and typhoid vaccine, while causing vulvovaginal mycotic infection as a side effect. Docetaxel is associated with cardiac disorder as a side effect, and cabazitaxel reduces efficacy of typhoid vi polysaccharide vaccine, hepatitis b vaccine (recombinant), and modified vaccinia ankara.","[[""cyanocobalamin"", ""decreases_efficacy_of"", ""linezolid""], [""cyanocobalamin"", ""decreases_efficacy_of"", ""docetaxel""], [""cyanocobalamin"", ""decreases_efficacy_of"", ""cabazitaxel""], [""linezolid"", ""decreases_efficacy_of"", ""secobarbital""], [""linezolid"", ""decreases_efficacy_of"", ""typhoid_vaccine""], [""linezolid"", ""has_side_effect"", ""vulvovaginal_mycotic_infection""], [""docetaxel"", ""has_side_effect"", ""cardiac_disorder""], [""cabazitaxel"", ""reduces_efficacy_of"", ""typhoid_vi_polysaccharide_vaccine""], [""cabazitaxel"", ""reduces_efficacy_of"", ""hepatitis_b_vaccine_recombinant""], [""cabazitaxel"", ""reduces_efficacy_of"", ""modified_vaccinia_ankara""]]"
33,"Levonordefrin increases the effect of hypotension. Droperidol decreases the efficacy of procaterol, levonordefrin, and epicriptine.","[[""Levonordefrin"", ""increases_effect_of"", ""hypotension""], [""Droperidol"", ""decreases_efficacy_of"", ""procaterol""], [""Droperidol"", ""decreases_efficacy_of"", ""levonordefrin""], [""Droperidol"", ""decreases_efficacy_of"", ""epicriptine""]]","Levonordefrin decreases the effect of hypotension. Droperidol decreases the efficacy of procaterol, levonordefrin, and epicriptine.","[[""Levonordefrin"", ""decreases_effect_of"", ""hypotension""], [""Droperidol"", ""decreases_efficacy_of"", ""procaterol""], [""Droperidol"", ""decreases_efficacy_of"", ""levonordefrin""], [""Droperidol"", ""decreases_efficacy_of"", ""epicriptine""]]"
34,"The drug gilteritinib decreases the efficacy of levothyroxine, triflupromazine, and lofexidine. Levothyroxine, in turn, decreases the efficacy of nn344 but increases the efficacy of aloxiprin and has a target in solute carrier family 22 member 1. Triflupromazine decreases the efficacy of mechlorethamine, methylprednisolone, and emodin. Lofexidine decreases the efficacy of diflunisal but increases the efficacy of zonisamide and fazadinium bromide.","[[""gilteritinib"", ""decreases_efficacy_of"", ""levothyroxine""], [""gilteritinib"", ""decreases_efficacy_of"", ""triflupromazine""], [""gilteritinib"", ""decreases_efficacy_of"", ""lofexidine""], [""levothyroxine"", ""decreases_efficacy_of"", ""nn344""], [""levothyroxine"", ""increases_efficacy_of"", ""aloxiprin""], [""levothyroxine"", ""target_in"", ""solute_carrier_family_22_member_1""], [""triflupromazine"", ""decreases_efficacy_of"", ""mechlorethamine""], [""triflupromazine"", ""decreases_efficacy_of"", ""methylprednisolone""], [""triflupromazine"", ""decreases_efficacy_of"", ""emodin""], [""lofexidine"", ""decreases_efficacy_of"", ""diflunisal""], [""lofexidine"", ""increases_efficacy_of"", ""zonisamide""], [""lofexidine"", ""increases_efficacy_of"", ""fazadinium_bromide""]]","The drug gilteritinib decreases the efficacy of levothyroxine, triflupromazine, and lofexidine. Levothyroxine, in turn, decreases the efficacy of nn344 and increases the efficacy of aloxiprin. Additionally, levothyroxine targets solute carrier family 22 member 1. Triflupromazine decreases the efficacy of mechlorethamine, methylprednisolone, and emodin. Lofexidine decreases the efficacy of diflunisal while increasing the efficacy of zonisamide and fazadinium bromide.","[[""gilteritinib"", ""decreases_efficacy_of"", ""levothyroxine""], [""gilteritinib"", ""decreases_efficacy_of"", ""triflupromazine""], [""gilteritinib"", ""decreases_efficacy_of"", ""lofexidine""], [""levothyroxine"", ""decreases_efficacy_of"", ""nn344""], [""levothyroxine"", ""increases_efficacy_of"", ""aloxiprin""], [""levothyroxine"", ""target_in"", ""solute_carrier_family_22_member_1""], [""triflupromazine"", ""decreases_efficacy_of"", ""mechlorethamine""], [""triflupromazine"", ""decreases_efficacy_of"", ""methylprednisolone""], [""triflupromazine"", ""decreases_efficacy_of"", ""emodin""], [""lofexidine"", ""decreases_efficacy_of"", ""diflunisal""], [""lofexidine"", ""increases_efficacy_of"", ""zonisamide""], [""lofexidine"", ""increases_efficacy_of"", ""fazadinium_bromide""]]"
35,"The drug ethchlorvynol increases the effects of sedation and neuropsychiatric effects. Additionally, ethchlorvynol enhances the efficacy of lofexidine. Lofexidine, in turn, boosts the efficacy of vigabatrin.","[[""ethchlorvynol"", ""increases"", ""sedation""], [""ethchlorvynol"", ""increases"", ""neuropsychiatric_effects""], [""ethchlorvynol"", ""enhances"", ""lofexidine""], [""lofexidine"", ""boosts"", ""vigabatrin""]]","Ethchlorvynol increases the neuropsychiatric effects and decreases sedation. It also increases the efficacy of lofexidine, which in turn boosts the efficacy of vigabatrin.","[[""ethchlorvynol"", ""increases"", ""neuropsychiatric_effects""], [""ethchlorvynol"", ""decreases"", ""sedation""], [""ethchlorvynol"", ""increases"", ""lofexidine""], [""lofexidine"", ""boosts"", ""vigabatrin""]]"
36,"Gemtuzumab ozogamicin increases the activity of the thrombogenic activities but decreases the efficacy of the pertussis vaccine. It also affects the sulfotransferase family 2b member 1. Additionally, the pertussis vaccine reduces the efficacy of tioguanine, gemcitabine, and vedolizumab.","[[""Gemtuzumab_ozogamicin"", ""increases"", ""thrombogenic_activities""], [""Gemtuzumab_ozogamicin"", ""decreases"", ""pertussis_vaccine""], [""Gemtuzumab_ozogamicin"", ""affects"", ""sulfotransferase_family_2B_member_1""], [""pertussis_vaccine"", ""reduces"", ""tioguanine""], [""pertussis_vaccine"", ""reduces"", ""gemcitabine""], [""pertussis_vaccine"", ""reduces"", ""vedolizumab""]]","Gemtuzumab ozogamicin decreases the efficacy of the pertussis vaccine. It also affects the sulfotransferase family 2B member 1 and decreases the activity of the thrombogenic activities. In turn, the pertussis vaccine reduces the efficacy of tioguanine, gemcitabine, and vedolizumab.","[[""Gemtuzumab_ozogamicin"", ""decreases"", ""pertussis_vaccine""], [""Gemtuzumab_ozogamicin"", ""affects"", ""sulfotransferase_family_2B_member_1""], [""Gemtuzumab_ozogamicin"", ""decreases"", ""thrombogenic_activities""], [""pertussis_vaccine"", ""reduces"", ""tioguanine""], [""pertussis_vaccine"", ""reduces"", ""gemcitabine""], [""pertussis_vaccine"", ""reduces"", ""vedolizumab""]]"
37,"Capmatinib decreases the efficacy of salmon calcitonin and affects the met proto-oncogene. Elcatonin reduces the efficacy of fluvoxamine, sertraline, and capmatinib. Fluvoxamine has side effects such as neck pain, herpes simplex, and tinnitus. Sertraline is indicated for chills and can cause side effects like dysphagia and toxic epidermal necrolysis.","[[""Capmatinib"", ""decreases_efficacy_of"", ""salmon_calcitonin""], [""Capmatinib"", ""affects"", ""met_proto-oncogene""], [""Elcatonin"", ""reduces_efficacy_of"", ""fluvoxamine""], [""Elcatonin"", ""reduces_efficacy_of"", ""sertraline""], [""Elcatonin"", ""reduces_efficacy_of"", ""capmatinib""], [""Fluvoxamine"", ""has_side_effect"", ""neck_pain""], [""Fluvoxamine"", ""has_side_effect"", ""herpes_simplex""], [""Fluvoxamine"", ""has_side_effect"", ""tinnitus""], [""Sertraline"", ""indicated_for"", ""chills""], [""Sertraline"", ""has_side_effect"", ""dysphagia""], [""Sertraline"", ""has_side_effect"", ""toxic_epidermal_necrolysis""]]","Capmatinib decreases the efficacy of salmon calcitonin and affects the met proto-oncogene. Elcatonin decreases the efficacy of fluvoxamine, sertraline, and capmatinib. Fluvoxamine has side effects including neck pain, herpes simplex, and tinnitus. Sertraline has indications for chills and side effects such as dysphagia and toxic epidermal necrolysis.","[[""Capmatinib"", ""decreases_efficacy_of"", ""salmon_calcitonin""], [""Capmatinib"", ""affects"", ""met_proto-oncogene""], [""Elcatonin"", ""decreases_efficacy_of"", ""fluvoxamine""], [""Elcatonin"", ""decreases_efficacy_of"", ""sertraline""], [""Elcatonin"", ""decreases_efficacy_of"", ""capmatinib""], [""Fluvoxamine"", ""has_side_effect"", ""neck_pain""], [""Fluvoxamine"", ""has_side_effect"", ""herpes_simplex""], [""Fluvoxamine"", ""has_side_effect"", ""tinnitus""], [""Sertraline"", ""has_indication_for"", ""chills""], [""Sertraline"", ""has_side_effect"", ""dysphagia""], [""Sertraline"", ""has_side_effect"", ""toxic_epidermal_necrolysis""]]"
38,"The compound 3,5-diiodotyrosine targets alpha-amylase g-6 and decreases the efficacy of osimertinib and insulin degludec. Additionally, methylthiouracil decreases the efficacy of imatinib, chlorpropamide, and ibrutinib. Furthermore, acalabrutinib decreases the efficacy of salmon calcitonin, 3,5-diiodotyrosine, and methylthiouracil.","[[""3,5-diiodotyrosine"", ""targets"", ""alpha-amylase_g-6""], [""3,5-diiodotyrosine"", ""decreases_efficacy_of"", ""osimertinib""], [""3,5-diiodotyrosine"", ""decreases_efficacy_of"", ""insulin_degludec""], [""methylthiouracil"", ""decreases_efficacy_of"", ""imatinib""], [""methylthiouracil"", ""decreases_efficacy_of"", ""chlorpropamide""], [""methylthiouracil"", ""decreases_efficacy_of"", ""ibrutinib""], [""acalabrutinib"", ""decreases_efficacy_of"", ""salmon_calcitonin""], [""acalabrutinib"", ""decreases_efficacy_of"", ""3,5-diiodotyrosine""], [""acalabrutinib"", ""decreases_efficacy_of"", ""methylthiouracil""]]","The compound 3,5-diiodotyrosine targets alpha-amylase g-6 and decreases the efficacy of osimertinib and insulin degludec. Meanwhile, methylthiouracil reduces the efficacy of imatinib, chlorpropamide, and ibrutinib. Additionally, acalabrutinib decreases the efficacy of salmon calcitonin.","[[""3,5-diiodotyrosine"", ""targets"", ""alpha-amylase_g-6""], [""3,5-diiodotyrosine"", ""decreases_efficacy_of"", ""osimertinib""], [""3,5-diiodotyrosine"", ""decreases_efficacy_of"", ""insulin_degludec""], [""methylthiouracil"", ""reduces_efficacy_of"", ""imatinib""], [""methylthiouracil"", ""reduces_efficacy_of"", ""chlorpropamide""], [""methylthiouracil"", ""reduces_efficacy_of"", ""ibrutinib""], [""acalabrutinib"", ""decreases_efficacy_of"", ""salmon_calcitonin""]]"
39,"Human interferon omega-1 increases the activity of the myelosuppressive activities. It also decreases the efficacy of allogeneic processed thymus tissue. Cyanocobalamin reduces the effectiveness of azacitidine, human interferon omega-1, and has an indication for anemia. Potassium perchlorate diminishes the efficacy of radicicol, ruxolitinib, and pexidartinib. Sorafenib has an effect on bleeding, while reducing the effectiveness of cyanocobalamin and potassium perchlorate.","[[""Human_interferon_omega-1"", ""increases"", ""myelosuppressive_activities""], [""Human_interferon_omega-1"", ""decreases"", ""allogeneic_processed_thymus_tissue""], [""Cyanocobalamin"", ""reduces"", ""azacitidine""], [""Cyanocobalamin"", ""reduces"", ""human_interferon_omega-1""], [""Cyanocobalamin"", ""indication_for"", ""anemia""], [""Potassium_perchlorate"", ""diminishes"", ""radicicol""], [""Potassium_perchlorate"", ""diminishes"", ""ruxolitinib""], [""Potassium_perchlorate"", ""diminishes"", ""pexidartinib""], [""Sorafenib"", ""has_effect_on"", ""bleeding""], [""Sorafenib"", ""reduces"", ""cyanocobalamin""], [""Sorafenib"", ""reduces"", ""potassium_perchlorate""]]","Human interferon omega-1 decreases the efficacy of allogeneic processed thymus tissue and the activity of the myelosuppressive activities. Cyanocobalamin decreases the efficacy of azacitidine and human interferon omega-1, while also having an indication for anemia. Potassium perchlorate decreases the efficacy of radicicol, ruxolitinib, and pexidartinib. Sorafenib has an effect on bleeding and decreases the efficacy of cyanocobalamin and potassium perchlorate.","[[""Human_interferon_omega-1"", ""decreases"", ""allogeneic_processed_thymus_tissue""], [""Human_interferon_omega-1"", ""decreases"", ""myelosuppressive_activities""], [""Cyanocobalamin"", ""decreases"", ""azacitidine""], [""Cyanocobalamin"", ""decreases"", ""human_interferon_omega-1""], [""Cyanocobalamin"", ""indication_for"", ""anemia""], [""Potassium_perchlorate"", ""decreases"", ""radicicol""], [""Potassium_perchlorate"", ""decreases"", ""ruxolitinib""], [""Potassium_perchlorate"", ""decreases"", ""pexidartinib""], [""Sorafenib"", ""has_effect_on"", ""bleeding""], [""Sorafenib"", ""decreases"", ""cyanocobalamin""], [""Sorafenib"", ""decreases"", ""potassium_perchlorate""]]"
