pair_id,question,context_snippet,response1,response2,label,perturbation_type,dataset_name
110,Sub-classification of low-grade cerebellar astrocytoma: is it clinically meaningful?,"The objectives were to identify prognostic factors for the survival of children with cerebellar astrocytoma, and to evaluate the reproducibility and prognostic value of histological sub-classification and grading.","Discordant observations due to interobserver variability make histological sub-classification of low-grade cerebellar astrocytomas in children insufficient for predicting prognosis and biological behaviour. Similar survival rates in a population of paediatric low-grade cerebellar astrocytomas of grades I and II indicate that tumour grade has no prognostic significance within this group of patients. ""Surgically gross-total removal"", especially if the tumour is located in the fourth ventricle is of the highest importance for long-term survival. Histological sub-classification of the tumours has no predictive value.","histological sub make Discordant observations due to interobserver variability-classification of low-grade cerebellar astrocytomas in children insufficient for predicting prognosis and biological behaviour. Similar survival rates in a population of paediatric low-grade cerebellar astrocytomas of grades I and II indicate that tumour grade has no prognostic significance within this group of patients. ""Surgically gross-total removal"", especially if the tumour is located in the fourth ventricle is of the highest importance for long-term survival. Histological sub-classification of the tumours has no predictive value.",0,relation_inversion,pubmedqa_contextual
111,Do provider service networks result in lower expenditures compared with HMOs or primary care case management in Florida's Medicaid program?,"To determine the impact of Florida's Medicaid Demonstration 4 years post-implementation on per member per month (PMPM) Medicaid expenditures and whether receiving care through HMOs versus provider service networks (PSNs) in the Demonstration was associated with PMPM expenditures.DATA: Florida Medicaid claims from two fiscal years prior to implementation of the Demonstration (FY0405, FY0506) and the first four fiscal years after implementation (FY0607-FY0910) from two urban Demonstration counties and two urban non-Demonstration counties.",The Medicaid Demonstration in Florida appears to result in lower PMPM expenditures. Demonstration PSNs generated slightly greater reductions in expenditures compared to Demonstration HMOs. PSNs appear to be a promising model for delivering care to Medicaid enrollees.,The Medicaid Demonstration in Florida appears to finding in reduced PMPM expenditures. slightly greater reductions in expenditures were generated by Demonstration PSNs. PSNs appear to be a promising model for delivering care to Medicaid enrollees.,1,correct_paraphrase,pubmedqa_contextual
112,Does para-cervical block offer additional advantages in abortion induction with gemeprost in the 2nd trimester?,"Uterus-specific synthetic Prostaglandin analogues (gemeprost, sulproston etc.) have been widely employed for termination of pregnancy in the second trimester. Since paracervical anaesthesia may be useful during this procedure, we investigated in this prospective randomised study its impact on the clinical course of abortion and pain especially in the late first and second stage of labour.",Paracervical anaesthesia is a method for analgesia during second trimester abortion with a low rate of side effects. It can shorten the duration of last period of second trimester abortion in some cases but has no impact on the perception of pain nor requirement of analgesics and so with only limited benefit in second trimester abortion with vaginal gemeprost.,Paracervical anaesthesia is a method for analgesia during second trimester miscarriage with a low rate of side effects. It can shorten the continuance of last menstruation of second trimester abortion in certain instance but has no impact on the perception of hurting nor demand of analgesics and so with only limited benefit in second trimester miscarriage with vaginal gemeprost.,1,correct_paraphrase,pubmedqa_contextual
113,Does higher body mass index contribute to worse asthma control in an urban population?,Epidemiologic findings support a positive association between asthma and obesity.,"Using 4 validated asthma control questionnaires, we failed to find an association between obesity and asthma control in an urban population with asthma. Weight loss may not be an appropriate strategy to improve asthma control in this population.","The results of this study indicate that the risk of breast cancer after RT is greater with irradiation around the time of pregnancy. This suggests that pregnancy is a time of increased sensitivity of breast tissue to the carcinogenic effects of radiation. Because of the small sample size and limited follow-up, additional studies are recommended to confirm these findings.",0,context_ignoring,pubmedqa_contextual
114,Two-year follow-up survey of patients with allergic contact dermatitis from an occupational cohort: is the prognosis dependent on the omnipresence of the allergen?,Skin diseases are the most frequently recognized occupational diseases in Denmark. The prognosis for occupational contact dermatitis is often poor.,"At follow-up, patients with contact urticaria had significantly poorer prognosis than those with contact allergy, and there was a trend towards a poorer prognosis for those with contact allergy to rubber chemicals than those with allergy to epoxy. A significant positive association between job change and improvement was found.","At follow-up, significantly poorer prognosis than those with contact allergy had patients with contact urticaria, and there was a trend towards a poorer prognosis for those with contact allergy to rubber chemicals than those with allergy to epoxy. A significant positive association between job change and improvement was found.",0,relation_inversion,pubmedqa_contextual
115,Treadmill testing of children who have spina bifida and are ambulatory: does peak oxygen uptake reflect maximum oxygen uptake?,Earlier studies have demonstrated low peak oxygen uptake ((.)Vo(2)peak) in children with spina bifida. Low peak heart rate and low peak respiratory exchange ratio in these studies raised questions regarding the true maximal character of (.)Vo(2)peak values obtained with treadmill testing.,"The (.)Vo(2)peak measured during an incremental treadmill test seems to reflect the true (.)Vo(2)max in children who have spina bifida and are ambulatory, validating the use of a treadmill test for these children. When confirmation of maximal effort is needed, the addition of supramaximal testing of children with disability is an easy and well-tolerated method.","The (.)Vo(2)peak measured during an incremental treadmill test seems to reflect the truthful (.)Vo(2)max in kid who have spina bifida and are ambulatory, validating the use of a treadmill test for these kid. When confirmation of maximum effort is needed, the improver of supramaximal testing of kid with disablement is an easy and well-tolerated method.",1,correct_paraphrase,pubmedqa_contextual
116,Ultra high risk (UHR) for psychosis criteria: are there different levels of risk for transition to psychosis?,"The ultra high risk (UHR) for psychosis criteria have been validated in a number of studies. However, it is not known whether particular UHR criteria (Attenuated Psychotic Symptoms (APS), Brief Limited Intermittent Psychotic Symptoms (BLIPS) or Trait vulnerability criteria), or combination of criteria, is associated with a higher risk of transition to psychosis. The current study investigated this issue over a 6-month follow-up period. We hypothesised that the risk of transition would increase in the following order: Trait alone<APS alone<APS+Trait<BLIPS.","Our data suggest that UHR intake criteria predict transition over 6 months in the order of Trait alone<APS<BLIPS. The fact that BLIPS patients are at the highest risk of transition over the short term is consistent with the ""early"" versus ""late"" prodrome model. It also indicates that particular clinical attention may need to be paid to BLIPS patients, especially early in the course of treatment.","Our data suggest that CBC intake criteria predict transition over 9 months in the order of Trait alone<North Carolina<PCR. The fact that BLIPS patients are at the highest risk of transition over the short term is consistent with the ""early"" versus ""late"" prodrome model. It also indicates that particular clinical attention may need to be paid to BLIPS patients, especially early in the course of treatment.",0,entity_hallucination,pubmedqa_contextual
117,Is the ability to perform transurethral resection of the prostate influenced by the surgeon's previous experience?,To evaluate the influence of the urologist's experience on the surgical results and complications of transurethral resection of the prostate (TURP).,"The senior urologist was capable of resecting four times more tissue per time unit than the more inexperienced surgeons. Therefore, a surgeon's experience may be important to reduce the risk of secondary TURP due to recurring adenomas or adenomas that were incompletely resected. However, the incidence of complications was the same between the three groups.","The senior urologist was capable of resecting four times more tissue per time unit than the more inexperienced surgeons. Therefore, a surgeon's experience may be important to reduce the risk of secondary RBC due to recurring adenomas or adenomas that were incompletely resected. However, the incidence of complications was the same between the three groups.",0,entity_hallucination,pubmedqa_contextual
118,Does the investing layer of the deep cervical fascia exist?,"The placement of the superficial cervical plexus block has been the subject of controversy. Although the investing cervical fascia has been considered as an impenetrable barrier, clinically, the placement of the block deep or superficial to the fascia provides the same effective anesthesia. The underlying mechanism is unclear. The aim of this study was to investigate the three-dimensional organization of connective tissues in the anterior region of the neck.","This study provides anatomical evidence to indicate that the so-called investing cervical fascia does not exist in the anterior triangle of the neck. Taking the previous reports together, the authors' findings strongly suggest that deep potential spaces in the neck are directly continuous with the subcutaneous tissue.","anatomical evidence to indicate that the so-called investing cervical fascia does not exist in the anterior triangle of the neck provides This study. Taking the previous reports together, the authors' findings strongly suggest that deep potential spaces in the neck are directly continuous with the subcutaneous tissue.",0,relation_inversion,pubmedqa_contextual
119,Do oblique views add value in the diagnosis of spondylolysis in adolescents?,"Anteroposterior, lateral, and right and left oblique lumbar spine radiographs are often a standard part of the evaluation of children who are clinically suspected of having spondylolysis. Recent concerns regarding radiation exposure and costs have brought the value of oblique radiographs into question. The purpose of the present study was to determine the diagnostic value of oblique views in the diagnosis of spondylolysis.","There is no difference in sensitivity and specificity between four-view and two-view studies. Although oblique views have long been considered standard practice by some, our data could not identify a diagnostic benefit that might outweigh the additional cost and radiation exposure.","In our population, ART conception was not significantly associated with the probability of PND or TOPFA for CHD. One implication of our results is that live births may be adequate for assessing the overall risk of CHD related to ART. However, total prevalence, in particular of severe CHD, would not be adequately assessed if TOPFA are not included.",0,context_ignoring,pubmedqa_contextual
120,Is motion perception deficit in schizophrenia a consequence of eye-tracking abnormality?,"Studies have shown that schizophrenia patients have motion perception deficit, which was thought to cause eye-tracking abnormality in schizophrenia. However, eye movement closely interacts with motion perception. The known eye-tracking difficulties in schizophrenia patients may interact with their motion perception.","Speed discrimination, per se, is not impaired in schizophrenia patients. The observed abnormality appears to be a consequence of impairment in generating or integrating the feedback information from eye movements. This study introduces a novel approach to motion perception studies and highlights the importance of concurrently measuring eye movements to understand interactions between these two systems; the results argue for a conceptual revision regarding motion perception abnormality in schizophrenia.","Speed discrimination, per se, is not impaired in schizophrenia patients. The ascertained abnormality appears to be a consequence of impairment in generating or integrating the feedback information from eye movements. This investigation introduces a novel approach to gesture perception probe and highlights the importance of concurrently measuring eye movements to understand interactions between these two scheme; the findings argue for a conceptual revision regarding motion perception abnormality in schizophrenia.",1,correct_paraphrase,pubmedqa_contextual
121,Does body mass index (BMI) influence morbidity and long-term survival in gastric cancer patients after gastrectomy?,"The long-term survival of patients with gastric cancer is governed by various factors, such as the clinical stage of the cancer, the patient's nutritional state, and the treatment and may be governed by the volume of intraperitoneal adipose tissue. The aim of this study is to clarify the relationship between the degree of the patients' body mass index and their long-term survival.","The body mass index is one of the prognostic factors of stage 2 and stage 3a gastric cancer. However, it does not appear to be useful for determining the prognosis of stage 1a, 1b, 3b, and 4a gastric cancers.",The body mass index is one of the prognostic factors of stage 2 and stage 3a gastric cancer.,0,fact_omission,pubmedqa_contextual
122,Treatment of contralateral hydrocele in neonatal testicular torsion: Is less more?,"Treatment of neonatal testicular torsion has two objectives: salvage of the involved testicle (which is rarely achieved) and preservation of the contralateral gonad. The second goal universally involves contralateral testicular scrotal fixation to prevent the future occurrence of contralateral torsion. However, there is controversy with regards to management of a synchronous contralateral hydrocele. It has been our policy not to address the contralateral hydrocele through an inguinal incision to minimize potential injury to the spermatic cord. Our objective in this study was to determine whether the decision to manage a contralateral hydrocele in cases of neonatal testicular torsion solely through a scrotal approach is safe and effective.",We have demonstrated that approaching a contralateral hydrocele in cases of neonatal testicular torsion solely through a scrotal incision is safe and effective. Inguinal exploration was not performed in our study and our long-term results demonstrate that such an approach would have brought no additional benefit. In avoiding an inguinal approach we did not subject our patients to unnecessary risk of testicular or vasal injury. Contralateral hydrocele is commonly seen in cases of neonatal testicular torsion. In our experience this is a condition of minimal clinical significance and does not warrant formal inguinal exploration for treatment. This conservative management strategy minimizes the potential of contralateral spermatic cord injury in the neonate. The aims of the study were met.,We have demonstrated that approaching a contralateral hydrocele in cases of neonatal testicular torsion solely through a scrotal incision is safe and effective. Inguinal exploration was not performed in our investigation and our long-term findings demonstrate that such an approach would have brought no additional benefit. our individuals were subjected by we. Contralateral hydrocele is commonly seen in cases of neonatal testicular torsion. In our experience this is a condition of minimal medical significance and does not warrant formal inguinal exploration for treatment. This conservative management strategy minimizes the potential of contralateral spermatic cord injury in the neonate. The aims of the study were met.,1,correct_paraphrase,pubmedqa_contextual
123,Does cup-cage reconstruction with oversized cups provide initial stability in THA for osteoporotic acetabular fractures?,"The incidence of acetabular fractures in osteoporotic patients is increasing. Immediate total hip arthroplasty (THA) has potential advantages, but achieving acetabular component stability is challenging and, at early followup, reported revision rates for loosening are high.QUESTIONS/","The majority of acetabular components in this cohort were stable despite the small contact surface achieved between the component and pelvic bone. Three of 10 migrated in excess of the limits that predict later loosening in primary THA but it remains to be seen whether these limits apply to this selected group of frail osteoporotic patients. We continue to use this technique routinely to treat patients with the same indications, but since the analysis of these data we have added screw fixation of the acetabular component to the ischial tuberosity and the superior pubic ramus.","The bulk of acetabular components in this cohort were stable despite the small contact surface achieved between the component and pelvic bone. Three of 10 migrated in excess of the bound that predict subsequently loosening in primary THA but it remains to be seen whether these limits apply to this selected group of frail osteoporotic individuals. We continue to use this technique routinely to treat patients with the same indications, but since the analysis of these evidence we have added screw fixation of the acetabular component to the ischial tubercle and the superior pubic ramus.",1,correct_paraphrase,pubmedqa_contextual
124,Does elective re-siting of intravenous cannulae decrease peripheral thrombophlebitis?,"Peripheral venous thrombophlebitis (PVT) is a common complication of intravenous cannulation, occurring in about 30% of patients. We evaluated the effect of elective re-siting of intravenous cannulae every 48 hours on the incidence and severity of PVT in patients receiving intravenous fluids/drugs.",Elective re-siting of intravenous cannulae every 48 hours results in a significant reduction in the incidence and severity of PVT. We recommend that this should be adopted as standard practice in managing all patients who require prolonged intravenous therapy.,Elective re-siting of endovenous cannulae every 48 hours findings in a substantial reduction in the incidence and severity of PVT. We recommend that this should be adopted as received practice in managing all person who require prolonged endovenous therapy.,1,correct_paraphrase,pubmedqa_contextual
125,Can the growth rate of a gallbladder polyp predict a neoplastic polyp?,"Cholecystectomy for GB polyps that are larger than 10 mm is generally recommended because of the high probability of neoplasm. In contrast, a follow-up strategy is preferred for GB polyps smaller than 10 mm. However, there are no treatment guidelines for polyps that grow in size during the follow-up period.STUDY: We retrospectively investigated 145 patients with GB polyps who underwent at least 1 ultrasonographic follow-up examination over an interval greater than 6 months, before cholecystectomy at Samsung medical center, South Korea, from 1994 to 2007. The growth rate was determined based on the change in size per time interval between 2 ultrasonographic examinations (mm/mo).",Patient's age (>60 y) and large polyp size (>10 mm) were significant predictive factors for neoplastic GB polyps. GB polyps less than 10 mm in diameter do not require surgical intervention simply because they grow.,individual's age (>60 y) and large polyp size (>10 mm) were substantial predictive factors for neoplastic GB polyps. surgical intervention was required by GB polyps less than 10 mm in diameter.,1,correct_paraphrase,pubmedqa_contextual
126,"Actinobaculum schaalii, a cause of urinary tract infections in children?","Urine samples were examined by wet smear microscopy, incubated in 5% CO(2) for 1-2 days, and species-specific real-time polymerase chain reaction (PCR) for A. schaalii was performed.","Actinobaculum schaalii is CO(2)-dependent. Therefore, if there are clinical symptoms and/or a negative culture despite the presence of leucocytes in the urine, Gram staining and incubation in 5% CO(2) or species-specific real-time PCR should be performed to identify A. schaalii.","Actinobaculum schaalii is CO(2)-dependent. Therefore, if there are medical symptoms and/or a disconfirming culture despite the presence of leucocytes in the piss, Gram staining and incubation in 5% CO(2) or coinage-specific real-clip PCR should be performed to identify A. schaalii.",1,correct_paraphrase,pubmedqa_contextual
127,Do cytokine concentrations in pancreatic juice predict the presence of pancreatic diseases?,Cytokine concentration in pancreatic juice of patients with pancreatic disease is unknown. Secretin stimulation allows endoscopic collection of pancreatic juice secreted into the duodenum. We aimed to evaluate the cytokine concentrations in pancreatic juice of patients with abdominal pain to discriminate presence from absence of pancreatic disease.,Cytokine levels can be measured in pancreatic juice obtained from the duodenum without direct cannulation of the pancreatic duct. Interleukin-8 concentration in pancreatic juice can be used to discriminate between normal pancreas and patients with pancreatic disease. This is a relatively simple and noninvasive method to aid in the diagnosis of pancreatic diseases.,Cytokine degree can be measured in pancreatic succus obtained from the duodenum without unmediated canulation of the pancreatic duct. Interleukin-8 density in pancreatic juice can be used to discriminate between normal pancreas and individuals with pancreatic condition. This is a relatively elementary and noninvasive method to aid in the diagnosing of pancreatic conditions.,1,correct_paraphrase,pubmedqa_contextual
128,"Are there associations of health status, disease activity and damage in SLE patients?","A cross sectional study of 38 patients fulfilling the classification criteria for SLE. The patients visited a rheumatology outpatient clinic in Switzerland between January 2002 and December 2004. The last assessment during this period was used for the study. The assessment included, besides demographic data, the measurement of disease activity using the BILAG index, the measurement of disease damage using the SLICC/ACR damage index (SDI), as well as the patient's self assessed health status using the patient's questionnaire Medical Outcome Survey Short Form 36 (SF-36).","The present study, which is based on internationally accepted assessment tools for SLE patients, shows a significant relationship between increased disease activity and reduced physical function. This result emphasizes the importance of optimizing treatment aiming at reducing disease activity.","The present study, which is based on internationally accepted assessment tools for North Carolina patients, shows a significant relationship between increased disease activity and reduced physical function. This result emphasizes the importance of optimizing treatment aiming at reducing disease activity.",0,entity_hallucination,pubmedqa_contextual
129,"Does obesity predict knee pain over fourteen years in women, independently of radiographic changes?",To examine longitudinal patterns in body mass index (BMI) over 14 years and its association with knee pain in the Chingford Study.,"Over 14 years, a higher BMI predicts knee pain at Y15 in women, independently of radiographic knee OA. When adjusted, the association was significant in bilateral, not unilateral, knee pain, suggesting alternative pathologic mechanisms may exist. The longitudinal effect of BMI on knee pain at Y15 is equally important at any time point, which may assist reducing the population burden of knee pain.","Over 14 years, a greater BMI predicts knee pain at Y15 in charwoman, severally of radiographic knee OA. When adjusted, the association was substantial in bilateral, not unilateral, knee pain, suggesting alternative pathologic mechanisms may exist. The longitudinal consequence of BMI on knee pain at Y15 is equally crucial at any time detail, which may assist reducing the population burden of knee pain.",1,correct_paraphrase,pubmedqa_contextual
130,Does transverse apex coincide with coronal apex levels (regional or global) in adolescent idiopathic scoliosis?,Cross-sectional.,This study demonstrated that the regional or global apex of a given curve is the most rotated level in only a minority of the curves. The most rotated level may be as far as two levels from the global apex and one level from the regional apex.,The most rotated level may be as far as two levels from the global apex and one level from the regional apex.,0,fact_omission,pubmedqa_contextual
131,Artefacts in 24-h pharyngeal and oesophageal pH monitoring: is simplification of pH data analysis feasible?,"Ambulatory 24-h dual-channel pharyngeal and oesophageal pH monitoring is the standard test for measuring gastro-oesophageal and gastropharyngeal reflux. Artefacts caused by the intake of food may result in falsely positive gastropharyngeal reflux, which necessitates a manual review of 24-h pH data. The purpose of the study was to investigate the influence of meals and whether leaving out meals affected the reliability of the test.","Leaving out the period of intake of meals and beverages from the raw pH data might be the second best test after the time-consuming visual correction with a small chance of undetected gastropharyngeal reflux. For scientific purposes and when in doubt, it remains necessary to review the computer-generated data manually to discover every gastropharyngeal reflux event.","Leaving out the period of intake of repast and drink from the raw pH evidence might be the second best trial after the time-consuming visual rectification with a little chance of undetected gastropharyngeal reflux. For scientific purposes and when in uncertainty, it remains necessary to review the computer-generated data manually to discover every gastropharyngeal ebb event.",1,correct_paraphrase,pubmedqa_contextual
132,Does concomitant anterior/apical repair during midurethral sling improve the overactive bladder component of mixed incontinence?,Midurethral sling (MUS) can improve overactive bladder (OAB) symptoms. It is unclear if anterior/apical prolapse (AA) repair provides additional benefit. We hypothesized that women with mixed urinary incontinence (MUI) experience greater improvement in the OAB component of their symptoms after concomitant MUS and AA repair compared with MUS alone.,"In women with bothersome MUI, concomitant AA repair does not result in additional improvement in OAB symptoms over MUS alone. Patients with postoperative complications exhibit less improvement in OAB symptoms.","In charwoman with annoying MUI, concomitant AA repair does not finding in extra improvement in OAB symptoms over MUS alone. individuals with postoperative complications exhibit less betterment in OAB symptoms.",1,correct_paraphrase,pubmedqa_contextual
133,30-Day and 1-year mortality in emergency general surgery laparotomies: an area of concern and need for improvement?,"Emergency surgery is associated with poorer outcomes and higher mortality with recent studies suggesting the 30-day mortality to be 14-15%. The aim of this study was to analyse the 30-day mortality, age-related 30-day mortality and 1-year mortality following emergency laparotomy. We hope this will encourage prospective data collection, improvement of care and initiate strategies to establish best practice in this area.","Emergency laparotomy carries a high rate of mortality, especially in those over the age of 70 years, and more needs to be done to improve outcomes, particularly in this group. This could involve increasing acute surgical care manpower, early recognition of patients requiring emergency surgery, development of clear management protocols for such patients or perhaps even considering centralisation of emergency surgical services to specialist centres with multidisciplinary teams involving emergency surgeons and care of the elderly physicians in hospital and related community outreach services for post-discharge care.","The great majority of U.S. renal transplant centers will not transplant kidneys to HIV-infected patients with end-stage renal disease, even if their infection is asymptomatic. However, advances in the management of HIV infection and a review of relevant ethical issues suggest that this approach should be reconsidered.",0,context_ignoring,pubmedqa_contextual
134,Is Bare-Metal Stent Implantation Still Justifiable in High Bleeding Risk Patients Undergoing Percutaneous Coronary Intervention?,This study sought to investigate the ischemic and bleeding outcomes of patients fulfilling high bleeding risk (HBR) criteria who were randomized to zotarolimus-eluting Endeavor Sprint stent (E-ZES) or bare-metal stent (BMS) implantation followed by an abbreviated dual antiplatelet therapy (DAPT) duration for stable or unstable coronary artery disease.,"Among HBR patients with stable or unstable coronary artery disease, E-ZES implantation provides superior efficacy and safety as compared with conventional BMS. (Zotarolimus-Eluting Endeavor Sprint Stent in Uncertain DES Candidates [ZEUS]; NCT01385319).","Among HBR patients with stable or unstable coronary artery disease, E-ZES implantation provides superior efficacy and safety as compared with conventional BMS. (Zotarolimus-MQSA in Uncertain CBC Candidates [North Carolina]; NCT01385319).",0,entity_hallucination,pubmedqa_contextual
135,"Suturing of the nasal septum after septoplasty, is it an effective alternative to nasal packing?",To discuss and compare the results of suturing the nasal septum after septoplasty with the results of nasal packing.,"Septal suturing after septoplasty offers the following advantages: elimination of discomfort for the patients, minimal complications, the outcome is almost the same as with nasal packing, and finally the hospital stay is less than with nasal packing. Therefore, suturing of the nasal septum after septoplasty should be a preferred alternative to nasal packing.","Septal suturing after septoplasty offers the following vantage: elimination of uncomfortableness for the individuals, minimum ramification, the finding is almost the same as with nasal packing, and finally the hospital stay is less than with nasal packing. Therefore, suturing of the nasal septum after septoplasty should be a preferable option to nasal packing.",1,correct_paraphrase,pubmedqa_contextual
136,Is scintigraphy a guideline method in determining amputation levels in diabetic foot?,"In this study, we aimed to evaluate the potential use of a 3-phase bone scintigraphy method to determine the level of amputation on treatment cost, morbidity and mortality, reamputation rates, and the duration of hospitalization in diabetic foot.","We conclude that 3-phase bone scintigraphy prior to surgery could be a useful method to determine the amputation level in a diabetic foot. We conclude that further, comparative, more comprehensive, long-term, and controlled studies are required.","We determine that 3-stage bone scintigraphy prior to surgery could be a utile method to determine the amputation degree in a diabetic foot. We conclude that further, comparative, more comprehensive, long-term, and controlled probe are required.",1,correct_paraphrase,pubmedqa_contextual
137,Should all patients be optimized to the same preoperative hemoglobin level to avoid transfusion in primary knee arthroplasty?,"Optimization of the preoperative hemoglobin (Hb) level is an effective way to reduce allogeneic transfusion in total knee arthroplasty (TKA) though the procedure is expensive, requires close monitoring and is often inconvenient for patients with reduced mobility. Our aim was to investigate the value of preoperative Hb levels to predict transfusion and thereby tailoring Hb optimization to patient characteristics.","Not all the patients undergoing TKA who receive tranexamic acid need the same preoperative Hb optimization target. Two easily available factors, such as the ASA score and the Hb level, can help individualize the Hb optimization target.","the same preoperative Hb optimization target need Not all the patients undergoing RBC who receive tranexamic acid. Two easily available factors, such as the ASA score and the Hb level, can help individualize the Hb optimization target.",0,relation_inversion,pubmedqa_contextual
138,Can tailored interventions increase mammography use among HMO women?,"Telephone counseling and tailored print communications have emerged as promising methods for promoting mammography screening. However, there has been little research testing, within the same randomized field trial, of the efficacy of these two methods compared to a high-quality usual care system for enhancing screening. This study addressed the question: Compared to usual care, is tailored telephone counseling more effective than tailored print materials for promoting mammography screening?","The effects of the intervention were most pronounced after the first intervention. Compared to usual care, telephone counseling seemed particularly effective at promoting change among nonadherent women, the group for whom the intervention was developed. These results suggest that telephone counseling, rather than tailored print, might be the preferred first-line intervention for getting nonadherent women on schedule for mammography screening. Many questions would have to be answered about why the tailored print intervention was not more powerful. Nevertheless, it is clear that additional interventions will be needed to maintain women's adherence to mammography. Medical Subject Headings (MeSH): mammography screening, telephone counseling, tailored print communications, barriers.","The short- and long-term outcomes after LRT and SLT did not differ significantly. To avoid the risk for the donor in LRT, SLT represents the first-line therapy in pediatric liver transplantation in countries where cadaveric organs are available. LRT provides a solution for urgent cases in which a cadaveric graft cannot be found in time or if the choice of the optimal time point for transplantation is vital.",0,context_ignoring,pubmedqa_contextual
139,Delayed diagnosis of anorectal malformations: are current guidelines sufficient?,Infants referred to our institution with a final diagnosis of ARM were retrospectively reviewed between 2001 and 2009. The first cohort consisted of patients that were referred between November 2001 and November 2006 with the diagnosis of an ARM that had been delayed for more than 48 h. The second cohort was those referred between December 2006 and May 2009 with whom the diagnosis of ARM had not been made within 24 h of birth.,"Delayed diagnosis of an ARM appears to be common, occurring in approximately 32% of patients referred to our institution over the last 2.5 years. Current guidelines appear insufficient to ensure prompt diagnosis of ARM.","Delayed diagnosis of an MQSA appears to be common, occurring in approximately 32% of patients referred to our institution over the last 1.2 years. Current guidelines appear insufficient to ensure prompt diagnosis of ARM.",0,entity_hallucination,pubmedqa_contextual
140,Is a pressor necessary during aortic perfusion and oxygenation therapy of cardiac arrest?,"Occlusion of the descending aorta and infusion of oxygenated ultrapurified polymerized bovine hemoglobin may improve the efficacy of advanced cardiac life support (ACLS). Because selective aortic perfusion and oxygenation (SAPO) directly increases coronary perfusion pressure, exogenous epinephrine may not be required. The purpose of this study was to determine whether exogenous epinephrine is necessary during SAPO by comparing the rate of return of spontaneous circulation and aortic and coronary perfusion pressures during ACLS-SAPO in animals treated with either intra-aortic epinephrine or saline solution.",The addition of epinephrine to ACLS-SAPO increases vital organ perfusion pressures and improves outcome from cardiac arrest. There appears to be a profound loss of arterial vasomotor tone after prolonged arrest. This loss of vasomotor tone may make exogenous pressors necessary for resuscitation after prolonged cardiac arrest.,vital organ perfusion pressures increases The addition of epinephrine to North Carolina-SAPO and improves outcome from cardiac arrest. There appears to be a profound loss of arterial vasomotor tone after prolonged arrest. This loss of vasomotor tone may make exogenous pressors necessary for resuscitation after prolonged cardiac arrest.,0,relation_inversion,pubmedqa_contextual
141,Can the prognosis of polymyalgia rheumatica be predicted at disease onset?,"To identify the features of PMR that may predict the duration of steroid therapy, the occurrence of relapses and the late development of GCA.",A higher PV in PMR increases the risk of prolonged steroid therapy and late GCA. Female sex and particular HLA alleles may increase the risk of late GCA. Starting patients on>15 mg prednisolone is associated with a prolonged steroid duration.,Female sex and particular HLA alleles may increase the risk of late NNSP. Starting patients on>15 mg prednisolone is associated with a prolonged steroid duration.,0,fact_omission,pubmedqa_contextual
142,Is neck pain associated with worse health-related quality of life 6 months later?,"Current evidence suggests that neck pain is negatively associated with health-related quality of life (HRQoL). However, these studies are cross-sectional and do not inform the association between neck pain and future HRQoL.",We found that neck pain was negatively associated with physical but not mental HRQoL. Our analysis suggests that neck pain may be a contributor of future poor physical HRQoL in the population. Raising awareness of the possible future impact of neck pain on physical HRQoL is important for health-care providers and policy makers with respect to the management of neck pain in populations.,We found that neck pain was negatively linked with physical but not mental HRQoL. Our analysis suggests that cervix pain may be a subscriber of future poor physical HRQoL in the population. Raising awareness of the possible future impact of neck pain on physical HRQoL is crucial for health-care providers and policy makers with respect to the direction of neck pain in universe.,1,correct_paraphrase,pubmedqa_contextual
143,Resection of colorectal liver metastases after second-line chemotherapy: is it worthwhile?,"Patient outcome after resection of colorectal liver metastases (CLM) following second-line preoperative chemotherapy (PCT) performed for insufficient response or toxicity of the first-line, is little known and has here been compared to the outcome following first-line.","CLM resection following second-line PCT, after oncosurgically favourable selection, could bring similar OS compared to what observed after first-line. For initially unresectable patients, OS or DFS is comparable between first- and second-line PCT. Surgery should not be denied after the failure of first-line chemotherapy.","CLM resection following second-line PCT, after oncosurgically favourable selection, could bring corresponding OS compared to what observed after first-line. For initially unresectable individuals, OS or DFS is corresponding between first- and second-argumentation PCT. Surgery should not be denied after the loser of first-line chemotherapy.",1,correct_paraphrase,pubmedqa_contextual
