id,paragraph_1,paragraph_2,kg_1,kg_2,snea_bert_similarity
80,"graves reported from albuquerque , villafranca from austin and ratcliffe from laredo .",pete slover reported from laredo and gromer jeffers from albuquerque .,"[[""Graves"", ""reported_from"", ""Albuquerque""], [""Villafranca"", ""reported_from"", ""Austin""], [""Ratcliffe"", ""reported_from"", ""Laredo""]]","[[""Pete_Slover"", ""reported_from"", ""Laredo""], [""Gromer_Jeffers"", ""reported_from"", ""Albuquerque""]]",0.5819126221933879
81,a group of penguins is walking .,a large amount of penguins are heading to the ocean .,"[[""group_of_penguins"", ""is_walking"", ""True""]]","[[""large_amount_of_penguins"", ""are_heading_to"", ""ocean""]]",0.35298532999142973
82,the feeling of annoyance at being hindered or thwarted .,a feeling of annoyance at being hindered or criticized .,"[[""feeling_of_annoyance"", ""caused_by"", ""being_hindered""], [""feeling_of_annoyance"", ""caused_by"", ""being_thwarted""]]","[[""feeling_of_annoyance"", ""caused_by"", ""being_hindered""], [""feeling_of_annoyance"", ""caused_by"", ""being_criticized""]]",0.8287748650098596
83,"coupling , an american version of a hit british comedy , will get the valuable thursday 9 : 30 p.m. time slot .","coupling , an american version of a hit british comedy , will couple with friends on thursdays .","[[""Coupling"", ""is_version_of"", ""British_comedy""], [""Coupling"", ""has_time_slot"", ""Thursday_9_30_p.m.""], [""Coupling"", ""is_american_version"", ""British_comedy""], [""British_comedy"", ""has_american_version"", ""Coupling""]]","[[""Coupling"", ""is_version_of"", ""British_comedy""], [""Coupling"", ""will_couple_with"", ""Friends""], [""Coupling"", ""airs_on"", ""Thursdays""], [""Coupling"", ""is_american_version"", ""British_comedy""], [""British_comedy"", ""has_american_version"", ""Coupling""], [""Friends"", ""airs_on"", ""Thursdays""]]",0.9935980737294604
84,"proving that the millville son 's sacrifice would not go unsung , mayor james quinn ordered all city flags flown at half-mast for the next 30 days .","in millville yesterday , mayor james quinn ordered all city flags flown at half-staff for the next 30 days .","[[""Millville"", ""has_mayor"", ""James_Quinn""], [""James_Quinn"", ""ordered"", ""city_flags_flown_at_half-mast""], [""city_flags_flown_at_half-mast"", ""duration"", ""30_days""], [""Millville"", ""has_city_flags"", ""city_flags""]]","[[""Millville"", ""has_mayor"", ""James_Quinn""], [""James_Quinn"", ""ordered"", ""city_flags_flown_at_half-staff""], [""city_flags_flown_at_half-staff"", ""duration"", ""30_days""], [""Millville"", ""has_city_flags"", ""city_flags""]]",0.9974423091916578
85,a boy is crawling into a dog house .,a cat is playing on the floor .,"[[""boy"", ""crawling_into"", ""dog_house""]]","[[""cat"", ""playing_on"", ""floor""]]",0.1836992051963065
86,but she didn 't say whether she 'll certify the two-year $ 117.4 billion budget for 2004-05 .,she said she didn 't know yet whether she would certify the budget .,"[[""she"", ""did_not_certify"", ""two-year_$117.4_billion_budget""], [""two-year_$117.4_billion_budget"", ""for"", ""2004-05""]]","[[""she"", ""did_not_know"", ""certification_of_budget""], [""she"", ""considering_certification_of"", ""budget""]]",0.3406383471223897
87,"the venture owns five oil refineries and more than 2,100 filling stations in russia and ukraine .","tnk-bp has six oil producing units , five refineries and 2,100 filling stations .","[[""venture"", ""owns"", ""oil_refineries""], [""venture"", ""number_of_oil_refineries"", ""5""], [""venture"", ""owns"", ""filling_stations""], [""venture"", ""number_of_filling_stations"", ""2100""], [""venture"", ""operates_in"", ""Russia""], [""venture"", ""operates_in"", ""Ukraine""]]","[[""TNK-BP"", ""has"", ""oil_producing_units""], [""TNK-BP"", ""number_of_oil_producing_units"", ""6""], [""TNK-BP"", ""has"", ""refineries""], [""TNK-BP"", ""number_of_refineries"", ""5""], [""TNK-BP"", ""has"", ""filling_stations""], [""TNK-BP"", ""number_of_filling_stations"", ""2100""]]",0.6054400240246581
88,"analysts ' consensus estimate from thomson first call was for a loss of $ 2.08 a share , excluding one-time items .",the estimate of analysts surveyed by thomson first call was for a loss of $ 2.75 a share .,"[[""analysts"", ""provided_consensus_estimate"", ""thomson_first_call""], [""thomson_first_call"", ""estimated_loss"", ""2.08_a_share""], [""2.08_a_share"", ""excludes"", ""one-time_items""]]","[[""analysts"", ""provided_estimate"", ""thomson_first_call""], [""thomson_first_call"", ""estimated_loss"", ""2.75_a_share""]]",0.5884477612271659
89,a man is playing guitar .,a man is draining pasta .,"[[""man"", ""playing"", ""guitar""]]","[[""man"", ""draining"", ""pasta""]]",0.11981289725392624
90,funeral direction,the trade of a funeral director .,[],"[[""funeral_director"", ""occupation"", ""trade""]]",0.0
91,a state of confinement in a small space,the act of forcing yourself ( or being forced ) into or through a restricted space .,"[[""state"", ""characterized_by"", ""confinement""], [""confinement"", ""located_in"", ""small_space""]]","[[""act"", ""involves"", ""forcing""], [""forcing"", ""target"", ""yourself""], [""forcing"", ""alternative_target"", ""someone_else""], [""act"", ""involves"", ""movement""], [""movement"", ""through"", ""restricted_space""], [""act"", ""can_be"", ""self_forced""], [""act"", ""can_be"", ""externally_forced""]]",0.45335682039158265
92,"u.s. troops encountered no resistance during the five-hour sweep near tikrit , saddam hussein 's hometown and the center of a region of baath party supporters .",tikrit is saddam hussein 's hometown and the region around it is known as a hotbed of baath party supporters and former high-ranking iraqi military officials .,"[[""U.S._troops"", ""encountered"", ""no_resistance""], [""U.S._troops"", ""conducted_sweep"", ""near_Tikrit""], [""Tikrit"", ""hometown_of"", ""Saddam_Hussein""], [""Tikrit"", ""located_in"", ""region_of_Baath_party_supporters""], [""Saddam_Hussein"", ""associated_with"", ""Baath_party""], [""U.S._troops"", ""operation_duration"", ""five-hour_sweep""], [""five-hour_sweep"", ""took_place"", ""near_Tikrit""]]","[[""Tikrit"", ""hometown_of"", ""Saddam_Hussein""], [""Tikrit"", ""located_in"", ""region_of_Baath_party_supporters""], [""region_around_Tikrit"", ""known_as"", ""hotbed_of_Baath_party_supporters""], [""region_around_Tikrit"", ""known_for"", ""former_high-ranking_Iraqi_military_officials""], [""Saddam_Hussein"", ""associated_with"", ""Baath_party""], [""Baath_party"", ""has"", ""former_high-ranking_Iraqi_military_officials""]]",0.5226394872444362
93,"indeed , the french philosopher marcel gauchet entitled a recent book democracy against itself .",one can also note that the french philosopher marcel gauchet entitled one of these recent books the democracy against itself .,"[[""Marcel_Gauchet"", ""entitled"", ""Democracy_Against_Itself""], [""Marcel_Gauchet"", ""nationality"", ""French""], [""Democracy_Against_Itself"", ""written_by"", ""Marcel_Gauchet""], [""Marcel_Gauchet"", ""occupation"", ""philosopher""]]","[[""Marcel_Gauchet"", ""entitled"", ""Democracy_Against_Itself""], [""Marcel_Gauchet"", ""nationality"", ""French""], [""Democracy_Against_Itself"", ""written_by"", ""Marcel_Gauchet""], [""Marcel_Gauchet"", ""occupation"", ""philosopher""]]",0.9999999993565861
94,a cat is watching a tv .,a man is slicing a leave .,"[[""cat"", ""watching"", ""tv""]]","[[""man"", ""slicing"", ""leave""]]",0.0
95,intend something to move toward a certain goal,intend ( something ) to move towards a certain goal .,"[[""intend"", ""relation"", ""move_toward""], [""move_toward"", ""relation"", ""certain_goal""]]","[[""intend"", ""relation"", ""move_towards""], [""move_towards"", ""relation"", ""certain_goal""]]",0.9929628259223361
96,then perhaps we could have avoided a catastrophe .,perhaps we should have been able to prevent a disaster .,[],[],0.0
97,heatley was sixth in the league in goals last season with 41 and ninth in points with 89 .,heatley led atlanta in scoring last season with a team-record 41 goals and 48 assists .,"[[""heatley"", ""ranked"", ""sixth""], [""heatley"", ""league_position"", ""goals""], [""heatley"", ""scored"", ""41""], [""heatley"", ""ranked"", ""ninth""], [""heatley"", ""league_position"", ""points""], [""heatley"", ""scored"", ""89""]]","[[""heatley"", ""led"", ""atlanta""], [""heatley"", ""scoring_record"", ""team_record""], [""heatley"", ""scored"", ""41""], [""heatley"", ""type_of_score"", ""goals""], [""heatley"", ""made"", ""48""], [""heatley"", ""type_of_score"", ""assists""]]",0.6318452957366884
98,paper is being cut with scissors .,a piece of paper is being cut .,"[[""paper"", ""being_cut_with"", ""scissors""]]","[[""paper"", ""state"", ""being_cut""]]",0.43537955681131707
99,someone is slicing tortila 's .,someone is riding a horse .,"[[""someone"", ""slicing"", ""tortila""]]","[[""someone"", ""riding"", ""horse""]]",0.07033225399723486
100,the u.s. conference board said its latest measure of business confidence hit 60 after falling to 53 in its first quarter survey .,"the conference board said its measure of business confidence , which had fallen to 53 in the first quarter of 2003 , improved to 60 in the most recent second quarter .","[[""U.S._Conference_Board"", ""said"", ""business_confidence_measure""], [""business_confidence_measure"", ""hit"", ""60""], [""business_confidence_measure"", ""fell_to"", ""53""], [""business_confidence_measure"", ""fell_in"", ""first_quarter_survey""]]","[[""Conference_Board"", ""said"", ""business_confidence_measure""], [""business_confidence_measure"", ""fell_to"", ""53""], [""business_confidence_measure"", ""fell_in"", ""first_quarter_of_2003""], [""business_confidence_measure"", ""improved_to"", ""60""], [""business_confidence_measure"", ""improved_in"", ""second_quarter""]]",0.741473013115185
101,a man is rowing a boat .,a man is slicing a tomato .,"[[""man"", ""rowing"", ""boat""]]","[[""man"", ""slicing"", ""tomato""]]",0.1239070062216871
102,a man is tying on a stenographers machine .,the man used a stenograph .,"[[""man"", ""using"", ""stenographers_machine""]]","[[""man"", ""used"", ""stenograph""]]",0.8867071144062744
103,a man is putting garlic on some bread slices .,a man is sprinkling seasoning on several split and buttered loaves of bread .,"[[""man"", ""putting"", ""garlic""], [""garlic"", ""on"", ""bread_slices""], [""man"", ""acting_on"", ""bread_slices""]]","[[""man"", ""sprinkling"", ""seasoning""], [""seasoning"", ""on"", ""loaves_of_bread""], [""loaves_of_bread"", ""split"", ""True""], [""loaves_of_bread"", ""buttered"", ""True""], [""man"", ""acting_on"", ""loaves_of_bread""]]",0.4157271926439083
104,advancing issues outnumbered decliners about 8 to 5 on the new york stock exchange .,declining issues outnumbered advancers slightly more than 3 to 1 on the new york stock exchange .,"[[""advancing_issues"", ""outnumbered"", ""decliners""], [""advancing_issues"", ""ratio"", ""8_to_5""], [""decliners"", ""ratio"", ""5""], [""New_York_Stock_Exchange"", ""location_of"", ""advancing_issues""], [""New_York_Stock_Exchange"", ""location_of"", ""decliners""]]","[[""declining_issues"", ""outnumbered"", ""advancers""], [""declining_issues"", ""ratio"", ""3_to_1""], [""advancers"", ""ratio"", ""1""], [""New_York_Stock_Exchange"", ""location_of"", ""declining_issues""], [""New_York_Stock_Exchange"", ""location_of"", ""advancers""]]",0.5957823190170171
105,a cat is playing on the floor .,a man is slicing garlic .,"[[""cat"", ""playing_on"", ""floor""]]","[[""man"", ""slicing"", ""garlic""]]",0.023995778137350456
106,"and , perhaps most importantly , ahmadinejad is a destabilizing influence ; bernanke is not .","and , perhaps the most important , the destabilising influence , not then .","[[""Ahmadinejad"", ""is"", ""destabilizing_influence""], [""Bernanke"", ""is_not"", ""destabilizing_influence""]]",[],0.0
107,effectively wield or manipulate a concrete entity,handle effectively .,"[[""concrete_entity"", ""can_be_wielded"", ""effectively""], [""concrete_entity"", ""can_be_manipulated"", ""effectively""]]",[],0.0
108,"prior to joining kodak , palumbo worked for procter & gamble corp. , where he managed products such as folgers and pantene shampoo .","prior to joining eastman kodak , mr. palumbo held senior marketing positions for procter & gamble .","[[""Palumbo"", ""worked_for"", ""Procter_&_Gamble_Corp""], [""Palumbo"", ""managed"", ""Folgers""], [""Palumbo"", ""managed"", ""Pantene_Shampoo""], [""Palumbo"", ""joined"", ""Kodak""]]","[[""Mr._Palumbo"", ""held_position"", ""senior_marketing_positions""], [""Mr._Palumbo"", ""worked_for"", ""Procter_&_Gamble""], [""Mr._Palumbo"", ""joined"", ""Eastman_Kodak""]]",0.7028059108635616
109,dotson was arrested monday in his native maryland and charged with murder .,"dotson , 21 , was subsequently charged with dennehy 's murder .","[[""dotson"", ""arrested_in"", ""Maryland""], [""dotson"", ""charged_with"", ""murder""], [""dotson"", ""native_of"", ""Maryland""]]","[[""dotson"", ""age"", ""21""], [""dotson"", ""charged_with"", ""Dennehy_murder""]]",0.4466891789588194
110,the man is slicing a fish open .,a man is slicing a potato .,"[[""man"", ""is_slicing"", ""fish""]]","[[""man"", ""is_slicing"", ""potato""]]",0.3907532386782395
111,the ministry of defence is facing a 20m compensation claim from hundreds of kenyan women who claim they were raped by british soldiers .,hundreds of kenyan women claiming they were attacked and raped by british soldiers were granted government legal aid wednesday to pursue their case against the ministry of defense .,"[[""Ministry_of_Defence"", ""facing_compensation_claim_from"", ""Kenyan_Women""], [""Kenyan_Women"", ""number"", ""hundreds""], [""Kenyan_Women"", ""claim"", ""rape_by_British_Soldiers""], [""British_Soldiers"", ""alleged_to_have_raped"", ""Kenyan_Women""], [""Ministry_of_Defence"", ""compensation_claim_amount"", ""20m""]]","[[""Kenyan_Women"", ""number"", ""hundreds""], [""Kenyan_Women"", ""claim"", ""attack_and_rape_by_British_Soldiers""], [""British_Soldiers"", ""alleged_to_have_attacked_and_raped"", ""Kenyan_Women""], [""Kenyan_Women"", ""granted"", ""Government_Legal_Aid""], [""Government_Legal_Aid"", ""purpose"", ""pursue_case_against_Ministry_of_Defense""], [""Ministry_of_Defense"", ""defendant_in"", ""case_brought_by_Kenyan_Women""], [""Kenyan_Women"", ""received_Government_Legal_Aid_on"", ""Wednesday""]]",0.7578765229320176
112,there must be a balance as a whole .,the whole must be in balance .,[],[],0.0
113,"thank you , commissioner .","thank you , commissioner .",[],[],0.0
114,""" we have found the smoking gun , "" investigating board member scott hubbard said .",""" we have found the smoking gun , "" said hubbard , director of nasa 's ames research center in california .","[[""investigating_board"", ""member"", ""Scott_Hubbard""], [""Scott_Hubbard"", ""said"", ""smoking_gun""]]","[[""Hubbard"", ""director_of"", ""NASA_Ames_Research_Center""], [""NASA_Ames_Research_Center"", ""located_in"", ""California""], [""Hubbard"", ""said"", ""smoking_gun""]]",0.5979159227785639
115,a cat is jumping into a box .,a young man is talking to a leaf .,"[[""cat"", ""jumping_into"", ""box""]]","[[""young_man"", ""talking_to"", ""leaf""]]",0.0
116,two foxes are eating from a plate on a brick patio .,foxes are eating from a plate .,"[[""two_foxes"", ""eating_from"", ""plate""], [""plate"", ""located_on"", ""brick_patio""], [""brick_patio"", ""has"", ""two_foxes""]]","[[""foxes"", ""eating_from"", ""plate""]]",0.4149479866517675
117,make out of components ( in an improvising manner ),make out of components ( often in an improvising manner ) .,"[[""components"", ""used_to_make"", ""something""], [""something"", ""made_in"", ""improvising_manner""]]","[[""components"", ""used_to_make"", ""something""], [""something"", ""made_in"", ""improvising_manner""], [""something"", ""made_frequently_in"", ""improvising_manner""]]",0.99999999940644
118,""" frank quattrone is innocent , "" keker said in a statement .",quattrone lawyer john w. keker said his client is innocent .,"[[""Frank_Quattrone"", ""status"", ""innocent""], [""Keker"", ""made_statement_about"", ""Frank_Quattrone""]]","[[""Quattrone"", ""represented_by"", ""John_W._Keker""], [""John_W._Keker"", ""said_about_client"", ""innocent""], [""Quattrone"", ""status"", ""innocent""]]",0.909854801018817
119,forcefully request,request urgently and forcefully .,[],[],0.0
120,a woman is deboning a fish .,a man catches a fish .,"[[""woman"", ""deboning"", ""fish""]]","[[""man"", ""catches"", ""fish""]]",0.5672570500577152
121,the little boy is singing and playing the guitar .,a baby is playing a guitar .,"[[""little_boy"", ""is_singing"", ""song""], [""little_boy"", ""playing"", ""guitar""]]","[[""baby"", ""playing"", ""guitar""]]",0.5651276086803891
122,"a process of development , increase or advancement",a process of becoming larger or longer or more numerous or more important .,"[[""process"", ""of"", ""development""], [""process"", ""of"", ""increase""], [""process"", ""of"", ""advancement""]]","[[""process"", ""of"", ""becoming_larger""], [""process"", ""of"", ""becoming_longer""], [""process"", ""of"", ""becoming_more_numerous""], [""process"", ""of"", ""becoming_more_important""]]",0.3415459165393701
123,"decree , issue an order",issue an order .,"[[""decree"", ""means"", ""issue_an_order""]]","[[""issue"", ""means"", ""an_order""]]",0.5129973749754424
124,"also missing is al larsen , 31 , of fort worth , texas , who was in another vehicle swept off the turnpike .","the other victim recovered tuesday morning was al larsen , 31 , of fort worth , texas .","[[""Al_Larsen"", ""age"", ""31""], [""Al_Larsen"", ""from"", ""Fort_Worth""], [""Al_Larsen"", ""from"", ""Texas""], [""Al_Larsen"", ""involved_in"", ""vehicle_accident""], [""vehicle_accident"", ""occurred_on"", ""turnpike""]]","[[""Al_Larsen"", ""age"", ""31""], [""Al_Larsen"", ""from"", ""Fort_Worth""], [""Al_Larsen"", ""from"", ""Texas""], [""Al_Larsen"", ""recovered_on"", ""Tuesday""], [""Al_Larsen"", ""status"", ""victim""]]",0.7521956533728464
125,a woman is carrying a boy .,a woman is carrying her baby .,"[[""woman"", ""carrying"", ""boy""]]","[[""woman"", ""carrying"", ""baby""], [""baby"", ""belongs_to"", ""woman""]]",0.45305446830875246
126,"us special forces troops are training colombian soldiers at military bases in the region to protect the pipeline , which transports crude from colombia 's second-biggest oil field .",u.s. special forces troops are training colombian soldiers at military bases in the region to protect the pipeline .,"[[""US_Special_Forces"", ""training"", ""Colombian_Soldiers""], [""US_Special_Forces"", ""located_at"", ""Military_Bases""], [""Military_Bases"", ""located_in"", ""The_Region""], [""Colombian_Soldiers"", ""trained_by"", ""US_Special_Forces""], [""Pipeline"", ""transports"", ""Crude""], [""Crude"", ""from"", ""Colombia_Second_Biggest_Oil_Field""], [""Pipeline"", ""protected_by"", ""US_Special_Forces""], [""Colombia_Second_Biggest_Oil_Field"", ""located_in"", ""Colombia""]]","[[""US_Special_Forces"", ""training"", ""Colombian_Soldiers""], [""US_Special_Forces"", ""located_at"", ""Military_Bases""], [""Military_Bases"", ""located_in"", ""The_Region""], [""Colombian_Soldiers"", ""trained_by"", ""US_Special_Forces""], [""Pipeline"", ""protected_by"", ""US_Special_Forces""]]",0.7666341119963007
127,"( cause to ) move through a space , circuit or system , usu. returning to the starting point",move in circles .,"[[""space"", ""part_of"", ""system""], [""circuit"", ""part_of"", ""system""], [""system"", ""has_starting_point"", ""starting_point""]]","[[""circles"", ""shape_of_motion"", ""move""]]",0.1324629244621284
128,supply or furnish with something needed or wanted,give something useful or necessary to .,"[[""something"", ""needed_or_wanted_by"", ""something""], [""something"", ""supplied_with"", ""something_needed_or_wanted""]]","[[""something"", ""given_to"", ""something""], [""something"", ""useful_or_necessary_for"", ""something""]]",0.4244671379986406
129,the act of coming to rest after a voyage .,the act of coming to land after a voyage .,"[[""act"", ""comes_after"", ""voyage""], [""act"", ""results_in"", ""rest""]]","[[""act"", ""comes_after"", ""voyage""], [""act"", ""results_in"", ""land""]]",0.6133759790735338
130,the man played his guitar .,a man is playing a guitar .,"[[""man"", ""played"", ""guitar""]]","[[""man"", ""playing"", ""guitar""]]",0.9644359985481061
131,the man talked to a girl over the internet camera .,a teenager talks to a girl over a webcam .,"[[""man"", ""talks_to"", ""girl""], [""man"", ""uses"", ""internet_camera""]]","[[""teenager"", ""talks_to"", ""girl""], [""teenager"", ""uses"", ""webcam""]]",0.6821055265317503
132,render one language in another language,restate ( words ) from one language into another language .,"[[""language"", ""rendered_in"", ""another_language""]]","[[""words"", ""restated_from"", ""one_language""], [""words"", ""restated_in"", ""another_language""], [""one_language"", ""translated_to"", ""another_language""]]",0.6728884637867563
133,a man is playing an electronic keyboard .,a man is playing a flute .,"[[""man"", ""playing"", ""electronic_keyboard""]]","[[""man"", ""playing"", ""flute""]]",0.2675166004665024
134,this tendency extends deeper than headscarves .,this tendency goes well beyond simple .,"[[""tendency"", ""extends_deeper_than"", ""headscarves""]]","[[""tendency"", ""goes_beyond"", ""simple""]]",0.3329742726193262
135,a man is playing a guitar .,someone is handling a bun .,"[[""man"", ""playing"", ""guitar""]]","[[""someone"", ""handling"", ""bun""]]",0.032201418395986614
136,( medicine ) the capacity of an organism to defend against disease .,( medicine ) the condition in which an organism can resist disease .,"[[""organism"", ""has_capacity"", ""defend_against_disease""], [""organism"", ""defend_against"", ""disease""]]","[[""organism"", ""has_condition"", ""resist_disease""], [""organism"", ""resist"", ""disease""]]",0.9332256509608328
137,putin 's russia has already lost 12 leading journalists to murder in the past six years .,"putin 's russia has already lost 12 prominent journalists , murdered in the last six years .","[[""Putin"", ""leader_of"", ""Russia""], [""Russia"", ""lost"", ""12_leading_journalists""], [""12_leading_journalists"", ""died_by"", ""murder""], [""12_leading_journalists"", ""died_in"", ""past_six_years""]]","[[""Putin"", ""leader_of"", ""Russia""], [""Russia"", ""lost"", ""12_prominent_journalists""], [""12_prominent_journalists"", ""died_by"", ""murder""], [""12_prominent_journalists"", ""died_in"", ""last_six_years""]]",0.9911630433022813
138,a small dog is chasing a yoga ball .,a dog is chasing a ball .,"[[""small_dog"", ""chasing"", ""yoga_ball""]]","[[""dog"", ""chasing"", ""ball""]]",0.4225226486025102
139,van orden report ( a5-0241 / 2000 ),report van orden ( a5-0241 / 2000 ),"[[""van_orden_report"", ""identified_by"", ""a5-0241_2000""]]","[[""report_van_orden"", ""identified_by"", ""a5-0241_2000""]]",0.9905982012670421
140,a girl is dancing in a cage .,a onion is being chopped .,"[[""girl"", ""dancing_in"", ""cage""]]",[],0.0
141,a man is paddling a canoe .,a man is playing a harp .,"[[""man"", ""paddling"", ""canoe""]]","[[""man"", ""playing"", ""harp""]]",0.14925365569982213
142,"the standards are scarcely comparable , let alone transferable .",the norms are scarcely comparable and again less transférables .,"[[""standards"", ""comparable"", ""false""], [""standards"", ""transferable"", ""false""]]","[[""norms"", ""comparable"", ""false""], [""norms"", ""transférables"", ""false""]]",0.6392726511668145
143,a man is cutting paper with a sword .,a woman is cutting a tomato .,"[[""man"", ""cutting"", ""paper""], [""man"", ""using"", ""sword""], [""sword"", ""used_for"", ""cutting_paper""]]",[],0.0
144,"the s & p / tsx composite rose 87.74 points on the week , while the tsx venture exchange composite gained 44.49 points .","on the week , the dow jones industrial average rose 11.56 points , while the nasdaq stock market gained 39.42 points .","[[""S_&_P_/TSX_Composite"", ""rose"", ""87.74_points""], [""TSX_Venture_Exchange_Composite"", ""gained"", ""44.49_points""]]","[[""Dow_Jones_Industrial_Average"", ""rose"", ""11.56_points""], [""Nasdaq_Stock_Market"", ""gained"", ""39.42_points""]]",0.5579014820450372
145,amendment no 7 proposes certain changes in the references to paragraphs .,amendment 7 proposes certain modifications in the references to paragraphs .,"[[""amendment_no_7"", ""proposes"", ""changes""], [""changes"", ""in"", ""references""], [""references"", ""to"", ""paragraphs""]]","[[""amendment_7"", ""proposes"", ""modifications""], [""modifications"", ""in"", ""references""], [""references"", ""to"", ""paragraphs""]]",0.9860540317934146
146,two men are talking .,two men are playing guitar .,"[[""two_men"", ""are_talking"", ""each_other""]]","[[""two_men"", ""are_playing"", ""guitar""]]",0.2713677889705119
147,change one for another,"give to , and receive from , one another .",[],[],0.0
148,( cause to ) survive,cause to move by pulling .,[],[],0.0
149,then perhaps we could have avoided a catastrophe .,we would perhaps have been able to then avoid a disaster .,[],[],0.0
150,the woman is seasoning the oil .,a woman is pouring ingredients in a bowl .,"[[""woman"", ""is_seasoning"", ""oil""]]","[[""woman"", ""is_pouring"", ""ingredients""], [""ingredients"", ""being_poured_in"", ""bowl""], [""woman"", ""pouring_in"", ""bowl""]]",0.405963429440627
151,"mr president , i rise in defence of the workers in the industry .","mr president , i would like to take the defence of workers in this sector .","[[""mr_president"", ""spoken_to"", ""speaker""], [""speaker"", ""rises_in_defence_of"", ""workers""], [""workers"", ""employed_in"", ""industry""]]","[[""mr_president"", ""spoken_to"", ""speaker""], [""speaker"", ""takes_defence_of"", ""workers""], [""workers"", ""employed_in"", ""sector""]]",0.6063200216624651
152,but the returns that make us stock markets so attractive reflect a delicate political balance .,but the returns which return the us markets of the transferable securities if attracting reflect a fragile political balance .,"[[""stock_markets"", ""reflect"", ""delicate_political_balance""], [""stock_markets"", ""attractive_due_to"", ""returns""]]","[[""us_markets"", ""reflect"", ""fragile_political_balance""], [""us_markets"", ""attractive_due_to"", ""returns""], [""transferable_securities"", ""part_of"", ""us_markets""], [""returns"", ""from"", ""transferable_securities""]]",0.9111736729185614
153,a woman opens a window .,a man is crawling .,"[[""woman"", ""opens"", ""window""]]","[[""man"", ""is_crawling"", ""null""]]",0.0030613987078168753
154,a woman is doing weight exercises .,a woman is doing her hair .,"[[""woman"", ""doing"", ""weight_exercises""]]","[[""woman"", ""doing"", ""her_hair""]]",0.2285649636249642
155,someone is greasing a pan .,smeone is laying down .,"[[""someone"", ""greasing"", ""pan""]]","[[""someone"", ""laying_down"", ""ground""]]",0.17449052816684787
156,the man used a chopper to chop the onion .,the man used a machine to chop up a potatoe .,"[[""man"", ""used"", ""chopper""], [""chopper"", ""used_for"", ""chopping_onion""], [""man"", ""chopped"", ""onion""]]","[[""man"", ""used"", ""machine""], [""machine"", ""used_for"", ""chopping_potatoe""], [""man"", ""chopped"", ""potatoe""]]",0.4964697664244089
157,"the technology-laced nasdaq composite index dipped 0.08 of a point to 1,646 .","the technology-laced nasdaq composite index < .ixic > added 1.92 points , or 0.12 percent , at 1,647.94 .","[[""Nasdaq_Composite_Index"", ""dipped"", ""0.08_of_a_point""], [""Nasdaq_Composite_Index"", ""value"", ""1,646""]]","[[""Nasdaq_Composite_Index"", ""added"", ""1.92_points""], [""Nasdaq_Composite_Index"", ""percentage_change"", ""0.12_percent""], [""Nasdaq_Composite_Index"", ""value"", ""1,647.94""]]",0.653361167467761
158,"consumers will lose out , employees will lose out , europe will lose competitive strength and growth .","the consumers are the losers , with the employees , and the competitiveness and the growth european régresseront .","[[""consumers"", ""will_lose"", ""something""], [""employees"", ""will_lose"", ""something""], [""Europe"", ""will_lose"", ""competitive_strength""], [""Europe"", ""will_lose"", ""growth""]]","[[""consumers"", ""are"", ""losers""], [""employees"", ""are"", ""losers""], [""competitiveness"", ""belongs_to"", ""Europe""], [""growth"", ""belongs_to"", ""Europe""]]",0.54059639363208
159,[ provide with a new or different resting place,provide with a new seat .,[],[],0.0
160,"one question was whether france , which infuriated washington by leading the charge against u.n. authorization for the war , would vote "" yes "" or abstain .","france , which infuriated washington by leading the charge against u.n. approval for the war , also sought changes .","[[""France"", ""infuriated"", ""Washington""], [""France"", ""led_charge_against"", ""U.N._authorization_for_the_war""], [""U.N._authorization_for_the_war"", ""related_to"", ""war""], [""France"", ""considered_voting"", ""yes""], [""France"", ""considered_voting"", ""abstain""]]","[[""France"", ""infuriated"", ""Washington""], [""France"", ""led_charge_against"", ""U.N._approval_for_the_war""], [""U.N._approval_for_the_war"", ""related_to"", ""war""], [""France"", ""sought"", ""changes""]]",0.7679889879721347
161,"the standards are scarcely comparable , let alone transferable .",the standards are hardly comparable and even less transferable .,"[[""standards"", ""comparable"", ""False""], [""standards"", ""transferable"", ""False""]]","[[""standards"", ""comparable"", ""False""], [""standards"", ""transferable"", ""False""]]",0.999999999489196
162,a woman puts flour on a piece of meat .,a woman is putting flour onto some meat .,"[[""woman"", ""puts"", ""flour""], [""flour"", ""on"", ""piece_of_meat""], [""piece_of_meat"", ""receives"", ""flour""], [""woman"", ""interacts_with"", ""piece_of_meat""]]","[[""woman"", ""puts"", ""flour""], [""flour"", ""onto"", ""meat""], [""woman"", ""interacts_with"", ""meat""], [""meat"", ""receives"", ""flour""]]",0.9709259650442051
163,a woman is slicing up some meat .,a woman is breading some meat .,"[[""woman"", ""slicing"", ""meat""]]","[[""woman"", ""breading"", ""meat""]]",0.8939398707456818
164,this has left the conservative opposition without an effective response .,that leaves the conservative opposition without any effective answer .,"[[""conservative_opposition"", ""without"", ""effective_response""]]","[[""conservative_opposition"", ""without"", ""effective_answer""]]",0.9775822520802121
165,five men jump into a swimming pool .,a group of swimmers fall into a pool .,"[[""five_men"", ""jump_into"", ""swimming_pool""]]","[[""group_of_swimmers"", ""fall_into"", ""pool""]]",0.6399766749641354
